g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-0.0016188438349887932,0.004567173283921639,-0.07089457919892744,0.005608821480964733,-0.012182361820226814,-0.02072516368931725,-0.002375126563373641,0.015153145369261217,0.004023200972496126,0.021914072643174607,0.03859754043997322,-0.034513709163243096,0.0207505702279471,-0.038343150450090575,-0.0002905796542940806,0.026597519871808178,-0.008232149610160116,0.024896764738717356,0.001930694219005957,0.01441128034315288,0.009994902744799847,-0.0020243032209721064,-0.007146253539572513,0.042968762643298866,-0.008391380712188793,0.04259906867040229,-0.03558128459043603,0.00035224834785909737,0.017715322288866266,-0.012793174243582542,0.06025486918268943,0.013664656175168268,-0.0027971283296386188,-0.0034946282998809075,0.0034381703705700737,0.018780285491168804,0.0008630828673056937,0.0053853453849879804,-0.0013144469308979184,-0.04762767172273284,-0.016063121693472904,0.014089738895609797,0.007665094092082003,-0.000874554759980858,-0.004370503713178978,0.012382452344947578,7.70495147762311e-6,0.03267182716912886,-0.04768132240839918,-0.05128841665521468,0.00046309940265450145,-0.015268259465593528,0.02832351795871868,0.014433399575525363,0.029712150707951104,-0.005548631679618278,-0.011184314427923517,0.033564482748733325,-0.01261701756652731,0.025876426053701912
1,-0.001231480136556612,0.004567173283921639,0.0046053678779804505,0.005608821480964733,0.06251627928413511,-9.073161999781849e-5,0.008524413439571806,0.033744871674890604,0.004023200972496126,0.021914072643174607,0.03859754043997322,0.0039174785687952855,0.03104793679620512,-0.006236534674330047,-0.0002905796542940806,0.026597519871808178,0.02174846066436717,0.024896764738717356,0.022762862688634044,0.03901253692730817,0.009994902744799847,0.03266604845552064,0.055670012487705575,0.042968762643298866,0.0043436287603118694,0.04259906867040229,0.014585062581342451,0.0378914391162608,0.017715322288866266,-0.012793174243582542,0.06025486918268943,0.0152462719564146,-0.0027971283296386188,0.014819297211920171,0.0067662321261629695,0.018780285491168804,0.0008630828673056937,0.005874503740985872,0.0016218426760057278,-0.034472703904158145,-0.016063121693472904,0.014089738895609797,0.07818355225268182,0.01575823382111514,0.04864046227624218,0.02594494606402267,0.01601632916732561,0.03267182716912886,-0.02761101180855594,0.0009705416221943199,0.00046309940265450145,-0.007329323118253205,0.03428130326115773,0.014433399575525363,0.029712150707951104,0.004883042080687678,0.015402447764629104,0.04047257049021133,-0.0015597360455894074,0.025876426053701912
2,-0.001231480136556612,0.004567173283921639,0.0046053678779804505,0.005608821480964733,0.06251627928413511,-9.073161999781849e-5,0.008524413439571806,0.04654021293607623,0.029866886114490614,0.021914072643174607,0.07663309841551107,0.006928260207691183,0.03104793679620512,-0.006236534674330047,0.01140343767109503,0.026597519871808178,0.02174846066436717,0.024896764738717356,0.022762862688634044,0.03901253692730817,0.009994902744799847,0.04465983526631791,0.055670012487705575,0.042968762643298866,0.0043436287603118694,0.04259906867040229,0.014585062581342451,0.050934512358636594,0.017715322288866266,-0.012793174243582542,0.06841996912129321,0.017243500073693026,0.007042101550049394,0.014819297211920171,0.0067662321261629695,0.02160465315082034,0.007155758137798462,0.005874503740985872,0.013572292556123012,-0.02541228398498932,0.011912734279489585,0.03914840683542511,0.07818355225268182,0.01575823382111514,0.06805130156289188,0.02594494606402267,0.01601632916732561,0.03267182716912886,-0.015395108045642706,0.001117496806859892,0.00046309940265450145,0.03315850160204826,0.03428130326115773,0.014433399575525363,0.029712150707951104,0.004883042080687678,0.015402447764629104,0.04047257049021133,0.02706083995357916,0.025876426053701912
3,0.002473079009345493,0.004567173283921639,0.005328615455835907,0.01072715710985106,0.06251627928413511,0.020783747365815005,0.008524413439571806,0.04654021293607623,0.029866886114490614,0.021914072643174607,0.07663309841551107,0.006928260207691183,0.03104793679620512,0.021359668539095773,0.03687712946929849,0.02719071560104389,0.02174846066436717,0.024896764738717356,0.022762862688634044,0.03901253692730817,0.02317330873837341,0.04465983526631791,0.055670012487705575,0.042968762643298866,0.0043436287603118694,0.04259906867040229,0.014585062581342451,0.050934512358636594,0.04043206817422904,-0.012793174243582542,0.06841996912129321,0.017243500073693026,0.023808009248415092,0.014819297211920171,0.0067662321261629695,0.02160465315082034,0.007155758137798462,0.036854541507639844,0.02298561516239165,-0.0070495037092509205,0.054242447836668595,0.03914840683542511,0.07818355225268182,0.04916487797015166,0.06805130156289188,0.02594494606402267,0.01601632916732561,0.03267182716912886,-0.015395108045642706,0.006144195860301761,0.00046309940265450145,0.03315850160204826,0.03428130326115773,0.014433399575525363,0.029712150707951104,0.014724565996772559,0.015402447764629104,0.04047257049021133,0.02706083995357916,0.025876426053701912
4,0.034276030912033836,0.004567173283921639,0.04543546248655642,0.048991749215857396,0.06251627928413511,0.06461857461052824,0.008524413439571806,0.04654021293607623,0.029866886114490614,0.023828766770890554,0.07663309841551107,0.006928260207691183,0.03104793679620512,0.04185205788629114,0.03687712946929849,0.030689157030774628,0.02174846066436717,0.024896764738717356,0.022762862688634044,0.03901253692730817,0.02317330873837341,0.04465983526631791,0.055670012487705575,0.042968762643298866,0.0043436287603118694,0.04947367819242713,0.014585062581342451,0.050934512358636594,0.04043206817422904,-0.008668212399664506,0.06841996912129321,0.0282796421604287,0.023808009248415092,0.014819297211920171,0.01282676323026666,0.02160465315082034,0.011862600774160273,0.036854541507639844,0.02298561516239165,-0.003457994711200277,0.054242447836668595,0.03914840683542511,0.07818355225268182,0.0573602160797853,0.06805130156289188,0.02594494606402267,0.026824922003229237,0.03267182716912886,0.04224836336566771,0.02948190198699657,0.012721391518185026,0.03315850160204826,0.03428130326115773,0.014433399575525363,0.04569776613219739,0.014724565996772559,0.015402447764629104,0.04047257049021133,0.02706083995357916,0.025876426053701912
5,0.034276030912033836,0.004567173283921639,0.05704828187191769,0.048991749215857396,0.06251627928413511,0.06461857461052824,0.01762236677079542,0.04654021293607623,0.04630994026545014,0.023828766770890554,0.07663309841551107,0.06221568353505828,0.03104793679620512,0.04185205788629114,0.05374261134853853,0.030689157030774628,0.025379750922217188,0.03693464631623026,0.022762862688634044,0.03931395038659953,0.02317330873837341,0.045936174848389105,0.055670012487705575,0.042968762643298866,0.0043436287603118694,0.04947367819242713,0.014585062581342451,0.050934512358636594,0.04043206817422904,-0.008668212399664506,0.06841996912129321,0.0282796421604287,0.034762075810729494,0.014819297211920171,0.01282676323026666,0.02160465315082034,0.011862600774160273,0.036854541507639844,0.04648397910726352,-0.003457994711200277,0.054242447836668595,0.03914840683542511,0.07818355225268182,0.0573602160797853,0.06805130156289188,0.032253357979418334,0.026824922003229237,0.06600605435414435,0.04224836336566771,0.02948190198699657,0.0194841560740449,0.03315850160204826,0.03428130326115773,0.029951082895535382,0.04569776613219739,0.014724565996772559,0.015402447764629104,0.05424498650185349,0.02706083995357916,0.052671513608936085
6,0.04448914253575901,0.004567173283921639,0.05866214759660457,0.048991749215857396,0.06251627928413511,0.06461857461052824,0.01762236677079542,0.04654021293607623,0.04630994026545014,0.023828766770890554,0.07663309841551107,0.06221568353505828,0.03104793679620512,0.04185205788629114,0.05374261134853853,0.030689157030774628,0.025379750922217188,0.03693464631623026,0.022762862688634044,0.03931395038659953,0.02317330873837341,0.045936174848389105,0.055670012487705575,0.05663212553620313,0.0043436287603118694,0.05059150516261633,0.05419274884680893,0.050934512358636594,0.04043206817422904,0.016940759118321144,0.06841996912129321,0.03517339089140817,0.04966784160111057,0.01991113081853933,0.017491067828563953,0.03156676195249718,0.011862600774160273,0.036854541507639844,0.04648397910726352,0.0017518876818621734,0.054242447836668595,0.03914840683542511,0.07818355225268182,0.0573602160797853,0.06805130156289188,0.032253357979418334,0.026824922003229237,0.06600605435414435,0.059219230642515976,0.02948190198699657,0.0194841560740449,0.03315850160204826,0.035335335149085934,0.029951082895535382,0.04569776613219739,0.014724565996772559,0.015402447764629104,0.05424498650185349,0.02706083995357916,0.052671513608936085
7,0.04448914253575901,0.01991078183761095,0.05866214759660457,0.048991749215857396,0.06251627928413511,0.06461857461052824,0.01762236677079542,0.04654021293607623,0.04630994026545014,0.023828766770890554,0.07663309841551107,0.06221568353505828,0.03104793679620512,0.04185205788629114,0.05374261134853853,0.030689157030774628,0.025379750922217188,0.03693464631623026,0.022762862688634044,0.03931395038659953,0.02317330873837341,0.045936174848389105,0.055670012487705575,0.05663212553620313,0.0043436287603118694,0.05059150516261633,0.05419274884680893,0.050934512358636594,0.05840133567336336,0.016940759118321144,0.07922833956738953,0.03517339089140817,0.04966784160111057,0.01991113081853933,0.017491067828563953,0.03156676195249718,0.011862600774160273,0.036854541507639844,0.04648397910726352,0.0017518876818621734,0.054242447836668595,0.03914840683542511,0.07818355225268182,0.0573602160797853,0.06805130156289188,0.032253357979418334,0.0268534905400135,0.06600605435414435,0.059219230642515976,0.02948190198699657,0.0194841560740449,0.03315850160204826,0.035335335149085934,0.029951082895535382,0.04569776613219739,0.014724565996772559,0.015402447764629104,0.05424498650185349,0.05238685465558874,0.052671513608936085
8,0.04448914253575901,0.024198529171420142,0.05866214759660457,0.048991749215857396,0.06251627928413511,0.06461857461052824,0.01762236677079542,0.04654021293607623,0.04630994026545014,0.037728088670724545,0.08558390496469666,0.06221568353505828,0.0322548770728713,0.04185205788629114,0.05374261134853853,0.030689157030774628,0.025379750922217188,0.03693464631623026,0.03457158012317572,0.03931395038659953,0.025024235154881568,0.045936174848389105,0.055670012487705575,0.05663212553620313,0.0043436287603118694,0.05059150516261633,0.05419274884680893,0.050934512358636594,0.05840133567336336,0.02137490395158683,0.07922833956738953,0.03517339089140817,0.04966784160111057,0.01991113081853933,0.046162047622212245,0.03156676195249718,0.011862600774160273,0.036854541507639844,0.04648397910726352,0.0017518876818621734,0.054242447836668595,0.03914840683542511,0.07818355225268182,0.0573602160797853,0.06805130156289188,0.06458913704280468,0.0268534905400135,0.06600605435414435,0.059219230642515976,0.02948190198699657,0.0194841560740449,0.03315850160204826,0.035335335149085934,0.04362029635106253,0.04569776613219739,0.014724565996772559,0.015402447764629104,0.05424498650185349,0.05238685465558874,0.052671513608936085
9,0.04448914253575901,0.04338426207373648,0.05866214759660457,0.048991749215857396,0.06251627928413511,0.06461857461052824,0.01762236677079542,0.04654021293607623,0.04630994026545014,0.037728088670724545,0.08558390496469666,0.06221568353505828,0.0322548770728713,0.04185205788629114,0.05374261134853853,0.030689157030774628,0.025379750922217188,0.03693464631623026,0.03457158012317572,0.03931395038659953,0.0509620681664522,0.045936174848389105,0.055670012487705575,0.05663212553620313,0.0043436287603118694,0.05059150516261633,0.05419274884680893,0.050934512358636594,0.05840133567336336,0.02137490395158683,0.08710501703283008,0.03984887314355865,0.04966784160111057,0.01991113081853933,0.046162047622212245,0.03156676195249718,0.011862600774160273,0.036854541507639844,0.04648397910726352,0.002348232792907453,0.06865610604006878,0.03914840683542511,0.07818355225268182,0.06818030817941731,0.06805130156289188,0.06458913704280468,0.0268534905400135,0.06646331516901174,0.059219230642515976,0.02948190198699657,0.0194841560740449,0.0513200268002865,0.035335335149085934,0.04362029635106253,0.04569776613219739,0.014724565996772559,0.016523590053637936,0.05424498650185349,0.05238685465558874,0.052671513608936085
