g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,0.255749029329378,0.2785862877902936,0.0,0.2824317975333073,0.2167511109841565,0.18521318108279633,0.25295701892823425,0.31766710116759617,0.27657807539242774,0.34262678695925286,0.404218059465618,0.13430925198995286,0.33833142131999155,0.12017189369501804,0.260652655009005,0.3599169257985716,0.2313343259159392,0.353638154853307,0.26885305351775773,0.3149283173881982,0.2986241341413936,0.25425217269042705,0.23534318795899634,0.4203555400655785,0.23074648372893183,0.41899072056246517,0.13036802527029231,0.26302581837872935,0.32712603013769886,0.21449614128149105,0.48417160704932416,0.3121719640238813,0.25139909187728976,0.2488240930063345,0.2744182858530668,0.33105761316355237,0.26491169417362437,0.2816067785807965,0.2568727880645705,0.08589571761703353,0.20242429705098053,0.31374126520223017,0.29002305183854243,0.25849676210296363,0.24559057573527782,0.30743838186472244,0.26175384863747014,0.3823417789881747,0.08569765244010052,0.07238114489996032,0.2634350532935971,0.20535873350499698,0.3662888875400489,0.31500997617072946,0.37141537917302037,0.2412412161469639,0.22043565724649983,0.3856372445189258,0.21514646854153505,0.3572548242262497
1,0.25717908112675,0.2785862877902936,0.2787272928666721,0.2824317975333073,0.4925201786714371,0.26139044495112745,0.2931954481739969,0.3863031962049545,0.27657807539242774,0.34262678695925286,0.404218059465618,0.27618777419991336,0.37634677389106885,0.23870164695659643,0.260652655009005,0.3599169257985716,0.3420153881396978,0.353638154853307,0.3457603116932781,0.4057501247443687,0.2986241341413936,0.38232044539440896,0.4672454402869458,0.4203555400655785,0.27776101621973937,0.41899072056246517,0.315569878802136,0.40161130650660654,0.32712603013769886,0.21449614128149105,0.48417160704932416,0.3180109016937705,0.25139909187728976,0.3164346156265215,0.28670467385125437,0.33105761316355237,0.26491169417362437,0.2834126312949914,0.2677128493479395,0.1344606333524643,0.20242429705098053,0.31374126520223017,0.5503599090314847,0.31990093937093067,0.4412940644731897,0.357507783304015,0.320853764107052,0.3823417789881747,0.15979231815939057,0.26530840554899027,0.2634350532935971,0.23466733996111716,0.3882835700944369,0.31500997617072946,0.37141537917302037,0.2797523979404632,0.31858746448513975,0.4111402106747329,0.25596724079527267,0.3572548242262497
2,0.25717908112675,0.2785862877902936,0.2787272928666721,0.2824317975333073,0.4925201786714371,0.26139044495112745,0.2931954481739969,0.4335404588669082,0.3719866243545759,0.34262678695925286,0.544636013618563,0.28730284180078597,0.37634677389106885,0.23870164695659643,0.3038240997322899,0.3599169257985716,0.3420153881396978,0.353638154853307,0.3457603116932781,0.4057501247443687,0.2986241341413936,0.42659856555770104,0.4672454402869458,0.4203555400655785,0.27776101621973937,0.41899072056246517,0.315569878802136,0.4497631349020076,0.32712603013769886,0.21449614128149105,0.51431515403161,0.3253841782048011,0.2877231161241506,0.3164346156265215,0.28670467385125437,0.3414844860596743,0.288142708378798,0.2834126312949914,0.311830980188891,0.16790948218056637,0.3057042979366594,0.40625172313135705,0.5503599090314847,0.31990093937093067,0.5129541237991477,0.357507783304015,0.320853764107052,0.3823417789881747,0.20489043964930628,0.26585092805901045,0.2634350532935971,0.3841384616673939,0.3882835700944369,0.31500997617072946,0.37141537917302037,0.2797523979404632,0.31858746448513975,0.4111402106747329,0.3616273899395761,0.3572548242262497
3,0.2708554051770165,0.2785862877902936,0.2813973455919102,0.3013274377165951,0.4925201786714371,0.3384539031783373,0.2931954481739969,0.4335404588669082,0.3719866243545759,0.34262678695925286,0.544636013618563,0.28730284180078597,0.37634677389106885,0.34058006294066967,0.3978667239873848,0.362106858985962,0.3420153881396978,0.353638154853307,0.3457603116932781,0.4057501247443687,0.34727557787214225,0.42659856555770104,0.4672454402869458,0.4203555400655785,0.27776101621973937,0.41899072056246517,0.315569878802136,0.4497631349020076,0.41099068605484046,0.21449614128149105,0.51431515403161,0.3253841782048011,0.349618736533761,0.3164346156265215,0.28670467385125437,0.3414844860596743,0.288142708378798,0.39778333477125627,0.3465826592099799,0.23570036461056904,0.4619752216181781,0.40625172313135705,0.5503599090314847,0.44323007863424985,0.5129541237991477,0.357507783304015,0.320853764107052,0.3823417789881747,0.20489043964930628,0.28440826847401907,0.2634350532935971,0.3841384616673939,0.3882835700944369,0.31500997617072946,0.37141537917302037,0.3160848912072292,0.31858746448513975,0.4111402106747329,0.3616273899395761,0.3572548242262497
4,0.3882641058741924,0.2785862877902936,0.42946199107971583,0.4425909297226266,0.4925201786714371,0.5002813375572165,0.2931954481739969,0.4335404588669082,0.3719866243545759,0.3496953682172284,0.544636013618563,0.28730284180078597,0.37634677389106885,0.416232939906203,0.3978667239873848,0.3750222469658789,0.3420153881396978,0.353638154853307,0.3457603116932781,0.4057501247443687,0.34727557787214225,0.42659856555770104,0.4672454402869458,0.4203555400655785,0.27776101621973937,0.44437009334053557,0.315569878802136,0.4497631349020076,0.41099068605484046,0.22972448901480017,0.51431515403161,0.3661269088506165,0.349618736533761,0.3164346156265215,0.3090786687132686,0.3414844860596743,0.3055192173271575,0.39778333477125627,0.3465826592099799,0.24895933523359784,0.4619752216181781,0.40625172313135705,0.5503599090314847,0.47348525752991705,0.5129541237991477,0.357507783304015,0.36075643871132285,0.3823417789881747,0.4176960025663972,0.37056535734966334,0.30868966218822663,0.3841384616673939,0.3882835700944369,0.31500997617072946,0.4304303518255067,0.3160848912072292,0.31858746448513975,0.4111402106747329,0.3616273899395761,0.3572548242262497
5,0.3882641058741924,0.2785862877902936,0.4723336729172433,0.4425909297226266,0.4925201786714371,0.5002813375572165,0.3267828611566331,0.4335404588669082,0.432690348627236,0.3496953682172284,0.544636013618563,0.4914104528685559,0.37634677389106885,0.416232939906203,0.4601299478583096,0.3750222469658789,0.3554212214199866,0.3980790620837703,0.3457603116932781,0.40686286933286864,0.34727557787214225,0.43131049835054,0.4672454402869458,0.4203555400655785,0.27776101621973937,0.44437009334053557,0.315569878802136,0.4497631349020076,0.41099068605484046,0.22972448901480017,0.51431515403161,0.3661269088506165,0.39005846446741227,0.3164346156265215,0.3090786687132686,0.3414844860596743,0.3055192173271575,0.39778333477125627,0.43333285735883653,0.24895933523359784,0.4619752216181781,0.40625172313135705,0.5503599090314847,0.47348525752991705,0.5129541237991477,0.3807968933437211,0.36075643871132285,0.5054035725761565,0.4176960025663972,0.37056535734966334,0.33365613077434875,0.3841384616673939,0.3882835700944369,0.3722974582260857,0.4304303518255067,0.3160848912072292,0.31858746448513975,0.4619845937475885,0.3616273899395761,0.4561757176248647
6,0.42596840984842305,0.2785862877902936,0.4782916694709901,0.4425909297226266,0.4925201786714371,0.5002813375572165,0.3267828611566331,0.4335404588669082,0.432690348627236,0.3496953682172284,0.544636013618563,0.4914104528685559,0.37634677389106885,0.416232939906203,0.4601299478583096,0.3750222469658789,0.3554212214199866,0.3980790620837703,0.3457603116932781,0.40686286933286864,0.34727557787214225,0.43131049835054,0.4672454402869458,0.47079732576265687,0.27776101621973937,0.4484968364358229,0.46179174513325183,0.4497631349020076,0.41099068605484046,0.324266532826259,0.51431515403161,0.3915769388954277,0.445086897038702,0.3352324168415978,0.3262981376549443,0.3782621491579827,0.3055192173271575,0.39778333477125627,0.43333285735883653,0.26819294362398277,0.4619752216181781,0.40625172313135705,0.5503599090314847,0.47348525752991705,0.5129541237991477,0.3807968933437211,0.36075643871132285,0.5054035725761565,0.48034828348597264,0.37056535734966334,0.33365613077434875,0.3841384616673939,0.39217479738785616,0.3722974582260857,0.4304303518255067,0.3160848912072292,0.31858746448513975,0.4619845937475885,0.3616273899395761,0.4561757176248647
7,0.42596840984842305,0.3352311284895764,0.4782916694709901,0.4425909297226266,0.4925201786714371,0.5002813375572165,0.3267828611566331,0.4335404588669082,0.432690348627236,0.3496953682172284,0.544636013618563,0.4914104528685559,0.37634677389106885,0.416232939906203,0.4601299478583096,0.3750222469658789,0.3554212214199866,0.3980790620837703,0.3457603116932781,0.40686286933286864,0.34727557787214225,0.43131049835054,0.4672454402869458,0.47079732576265687,0.27776101621973937,0.4484968364358229,0.46179174513325183,0.4497631349020076,0.4773288157985455,0.324266532826259,0.5542170076272398,0.3915769388954277,0.445086897038702,0.3352324168415978,0.3262981376549443,0.3782621491579827,0.3055192173271575,0.39778333477125627,0.43333285735883653,0.26819294362398277,0.4619752216181781,0.40625172313135705,0.5503599090314847,0.47348525752991705,0.5129541237991477,0.3807968933437211,0.3608619067444451,0.5054035725761565,0.48034828348597264,0.37056535734966334,0.33365613077434875,0.3841384616673939,0.39217479738785616,0.3722974582260857,0.4304303518255067,0.3160848912072292,0.31858746448513975,0.4619845937475885,0.4551248265642929,0.4561757176248647
8,0.42596840984842305,0.3510604403383851,0.4782916694709901,0.4425909297226266,0.4925201786714371,0.5002813375572165,0.3267828611566331,0.4335404588669082,0.432690348627236,0.4010082567133861,0.5776801967606574,0.4914104528685559,0.3808025014642847,0.416232939906203,0.4601299478583096,0.3750222469658789,0.3554212214199866,0.3980790620837703,0.3893552010963724,0.40686286933286864,0.35410874437546713,0.43131049835054,0.4672454402869458,0.47079732576265687,0.27776101621973937,0.4484968364358229,0.46179174513325183,0.4497631349020076,0.4773288157985455,0.34063630834803416,0.5542170076272398,0.3915769388954277,0.445086897038702,0.3352324168415978,0.4321443652500211,0.3782621491579827,0.3055192173271575,0.39778333477125627,0.43333285735883653,0.26819294362398277,0.4619752216181781,0.40625172313135705,0.5503599090314847,0.47348525752991705,0.5129541237991477,0.500172661274943,0.3608619067444451,0.5054035725761565,0.48034828348597264,0.37056535734966334,0.33365613077434875,0.3841384616673939,0.39217479738785616,0.4227608427658753,0.4304303518255067,0.3160848912072292,0.31858746448513975,0.4619845937475885,0.4551248265642929,0.4561757176248647
9,0.42596840984842305,0.4218894620869483,0.4782916694709901,0.4425909297226266,0.4925201786714371,0.5002813375572165,0.3267828611566331,0.4335404588669082,0.432690348627236,0.4010082567133861,0.5776801967606574,0.4914104528685559,0.3808025014642847,0.416232939906203,0.4601299478583096,0.3750222469658789,0.3554212214199866,0.3980790620837703,0.3893552010963724,0.40686286933286864,0.44986486418808747,0.43131049835054,0.4672454402869458,0.47079732576265687,0.27776101621973937,0.4484968364358229,0.46179174513325183,0.4497631349020076,0.4773288157985455,0.34063630834803416,0.5832957695565664,0.4088376729944939,0.445086897038702,0.3352324168415978,0.4321443652500211,0.3782621491579827,0.3055192173271575,0.39778333477125627,0.43333285735883653,0.270394503556821,0.5151869136376022,0.40625172313135705,0.5503599090314847,0.5134303845963823,0.5129541237991477,0.500172661274943,0.3608619067444451,0.5070916673894175,0.48034828348597264,0.37056535734966334,0.33365613077434875,0.4511863596967565,0.39217479738785616,0.4227608427658753,0.4304303518255067,0.3160848912072292,0.32272644692463015,0.4619845937475885,0.4551248265642929,0.4561757176248647
