g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-0.01248133961015481,-0.04810214164790451,-0.015781635591802762,0.04462136777655275,0.022220956947856613,0.012616282695236389,-0.02266047383203265,0.012035622848080157,0.004298270925250841,0.012732915192147337,0.015730801354282814,0.06444452603072737,-0.038182016787400935,0.010469732531236065,0.04811715063259772,0.07635721006197377,-0.005985410184846746,-0.005971394826182336,-0.03358572048001665,0.009668683730917199,-0.05021518083236377,-0.026831181146631168,-0.01230663267598836,0.007821552008184074,0.17827765682864993,0.003179045510628864,0.0012295767664909363,0.04113384229565174,0.06760684061148557,-0.006595335900783539,0.014184631059939112,0.02287389430836717,0.010114307808090958,-0.01083310983987637,0.008720830488121584,0.04889496641477517,-0.08858409976019277,0.1489068762215869,0.029714810185871604,-0.0032978424405863405,-0.005756428687006099,0.04082960288816617,-0.09926715740294698,-0.0020447912339984775,-0.036861204091862124,-0.018517504825991085,0.08984718622039678,0.0316245067023079,0.3525396499209961,0.05628321729230121,-0.006053353995437716,-0.04382399089028098,-0.015431240829445053,0.0011700689792633057,-0.09137594858017208,0.11710568485927758,0.000962981031250143,-0.03541518261950438,0.044240854796783635,0.03928762749404083
1,-0.009613556089857006,0.04148736977171141,0.1717190091067283,0.09619252928711436,0.022220956947856613,0.012616282695236389,0.030860063801809945,0.012035622848080157,0.005413952487213519,0.019570201125981818,0.015730801354282814,0.06444452603072737,-0.004186980866188211,0.010469732531236065,0.04811715063259772,0.07635721006197377,0.0007557329042289507,0.013098479582825312,0.14356340057091255,0.009668683730917199,0.0020054929189381454,0.12678697212679968,0.035461327896964934,0.017848217454400683,0.20817197114229202,0.003179045510628864,0.006260983438941353,0.04113384229565174,0.06760684061148557,-0.00032707015677677087,0.06286801930671074,0.09342649522962813,0.010114307808090958,-0.00403602338974135,0.008720830488121584,0.04889496641477517,-0.03419851145991942,0.1489068762215869,0.031766309348544186,0.011304637646302768,-0.004874328725391119,0.04082960288816617,0.020907138483757304,-0.0020447912339984775,0.04199533469066753,0.014692285207674405,0.08984718622039678,0.0316245067023079,0.3525396499209961,0.05628321729230121,-0.004655825491427165,-0.013700018407393655,0.020720597437706434,0.0016306749701141404,-0.044947270008491816,0.11710568485927758,0.000962981031250143,0.03814000391864068,0.044240854796783635,0.03928762749404083
2,-0.002344886713477823,0.04148736977171141,0.1717190091067283,0.09619252928711436,0.13689081853062032,0.26987282727199763,0.03661048393332525,0.04789178827155896,0.005413952487213519,0.019570201125981818,0.015730801354282814,0.06444452603072737,-0.004186980866188211,0.010469732531236065,0.10495374341379243,0.07635721006197377,0.017071994123505407,0.028044315235933884,0.14356340057091255,0.009668683730917199,0.043931996003663154,0.12678697212679968,0.035461327896964934,0.017848217454400683,0.20817197114229202,0.009399235082292234,0.006260983438941353,0.04113384229565174,0.06760684061148557,0.03239352058441394,0.06286801930671074,0.19683890720387817,0.01728867163907588,-0.00403602338974135,0.008720830488121584,0.10762194529466933,-0.01279466599225998,0.1489068762215869,0.15903617091759456,0.011304637646302768,0.058912533151555396,0.04082960288816617,0.020907138483757304,-0.0020447912339984775,0.04199533469066753,0.03164614983849873,0.08984718622039678,0.0316245067023079,0.3525396499209961,0.05628321729230121,-0.004655825491427165,0.08087887185863471,0.020720597437706434,0.0016306749701141404,-0.044947270008491816,0.11710568485927758,0.000962981031250143,0.03814000391864068,0.044240854796783635,0.03928762749404083
3,0.004256239490176977,0.04148736977171141,0.1717190091067283,0.09619252928711436,0.16475169311832677,0.26987282727199763,0.07997958426049911,0.04789178827155896,0.024751304026788906,0.019570201125981818,0.015730801354282814,0.06444452603072737,-0.004186980866188211,0.010469732531236065,0.10495374341379243,0.07635721006197377,0.017071994123505407,0.05211379886334587,0.14356340057091255,0.0459921403303816,0.043931996003663154,0.12678697212679968,0.035461327896964934,0.017848217454400683,0.20817197114229202,0.03675300268852713,0.006260983438941353,0.04113384229565174,0.09776720446655073,0.03239352058441394,0.06286801930671074,0.20995688989814532,0.01728867163907588,0.018988866417467498,0.008720830488121584,0.10762194529466933,0.004181908164881884,0.19669077511974223,0.15903617091759456,0.12745840406920128,0.058912533151555396,0.04082960288816617,0.020907138483757304,0.022973607624987596,0.04199533469066753,0.03164614983849873,0.08984718622039678,0.0316245067023079,0.3525396499209961,0.05628321729230121,-0.004655825491427165,0.08087887185863471,0.020720597437706434,0.0016306749701141404,-0.044947270008491816,0.11710568485927758,0.000962981031250143,0.0503610482917059,0.044240854796783635,0.03928762749404083
4,0.004256239490176977,0.04148736977171141,0.1717190091067283,0.09619252928711436,0.16475169311832677,0.26987282727199763,0.07997958426049911,0.04789178827155896,0.024751304026788906,0.019570201125981818,0.03195498743577922,0.06444452603072737,0.013335777495159074,0.058547289028599625,0.10495374341379243,0.07635721006197377,0.017071994123505407,0.05211379886334587,0.14356340057091255,0.0459921403303816,0.043931996003663154,0.12678697212679968,0.035461327896964934,0.017848217454400683,0.20817197114229202,0.03675300268852713,0.006260983438941353,0.04113384229565174,0.09776720446655073,0.06374776338219718,0.06286801930671074,0.20995688989814532,0.01728867163907588,0.018988866417467498,0.008720830488121584,0.10762194529466933,0.004181908164881884,0.19669077511974223,0.15903617091759456,0.12745840406920128,0.058912533151555396,0.04082960288816617,0.025167760336302997,0.022973607624987596,0.04199533469066753,0.03164614983849873,0.08984718622039678,0.0316245067023079,0.3525396499209961,0.05628321729230121,-0.0019306331782733832,0.08087887185863471,0.041394592045470746,0.0016306749701141404,0.00899765328994373,0.11710568485927758,0.00315127343509064,0.0503610482917059,0.07894721364265796,0.03928762749404083
5,0.004256239490176977,0.04148736977171141,0.1717190091067283,0.09619252928711436,0.16475169311832677,0.26987282727199763,0.07997958426049911,0.04789178827155896,0.024751304026788906,0.019570201125981818,0.03195498743577922,0.06444452603072737,0.013335777495159074,0.058547289028599625,0.10495374341379243,0.07635721006197377,0.017071994123505407,0.12359884405074731,0.14356340057091255,0.0459921403303816,0.043931996003663154,0.12678697212679968,0.035461327896964934,0.017848217454400683,0.20817197114229202,0.03675300268852713,0.006260983438941353,0.04113384229565174,0.09776720446655073,0.06374776338219718,0.06286801930671074,0.20995688989814532,0.01728867163907588,0.08252603523920554,0.008720830488121584,0.10762194529466933,0.015619946088661643,0.19669077511974223,0.15903617091759456,0.12745840406920128,0.058912533151555396,0.04082960288816617,0.025167760336302997,0.022973607624987596,0.04199533469066753,0.10243490180605944,0.08984718622039678,0.0316245067023079,0.3525396499209961,0.05628321729230121,0.006238833891429207,0.08087887185863471,0.041394592045470746,0.002511054277420044,0.00899765328994373,0.11710568485927758,0.00315127343509064,0.0503610482917059,0.07894721364265796,0.03928762749404083
6,0.004256239490176977,0.04148736977171141,0.1717190091067283,0.13010754368307323,0.16475169311832677,0.26987282727199763,0.07997958426049911,0.04789178827155896,0.024751304026788906,0.019570201125981818,0.03195498743577922,0.06444452603072737,0.06118854068494939,0.058547289028599625,0.10495374341379243,0.07635721006197377,0.017071994123505407,0.12359884405074731,0.14356340057091255,0.0459921403303816,0.043931996003663154,0.12678697212679968,0.035461327896964934,0.017848217454400683,0.20817197114229202,0.09797134508921804,0.006260983438941353,0.09596794250363487,0.09776720446655073,0.06374776338219718,0.10139193748313989,0.20995688989814532,0.01728867163907588,0.08252603523920554,0.008720830488121584,0.10762194529466933,0.015619946088661643,0.19669077511974223,0.15903617091759456,0.12745840406920128,0.058912533151555396,0.04082960288816617,0.025167760336302997,0.022973607624987596,0.04199533469066753,0.10243490180605944,0.08984718622039678,0.0316245067023079,0.3525396499209961,0.05628321729230121,0.006238833891429207,0.08087887185863471,0.041394592045470746,0.17946140821208484,0.00899765328994373,0.11710568485927758,0.08534980445281623,0.0503610482917059,0.07894721364265796,0.03928762749404083
7,0.004256239490176977,0.04148736977171141,0.20211939961130151,0.13010754368307323,0.16475169311832677,0.26987282727199763,0.15736306674058714,0.04789178827155896,0.024751304026788906,0.019570201125981818,0.03195498743577922,0.06444452603072737,0.06118854068494939,0.058547289028599625,0.10495374341379243,0.13155980259506608,0.017071994123505407,0.14144209917993777,0.14356340057091255,0.06493814854437452,0.043931996003663154,0.12678697212679968,0.06980873712537972,0.017848217454400683,0.20817197114229202,0.15816643278094145,0.006260983438941353,0.09596794250363487,0.09776720446655073,0.06374776338219718,0.10139193748313989,0.20995688989814532,0.01728867163907588,0.08252603523920554,0.008720830488121584,0.10762194529466933,0.03296598673067416,0.19669077511974223,0.15903617091759456,0.12745840406920128,0.058912533151555396,0.04082960288816617,0.025167760336302997,0.022973607624987596,0.04199533469066753,0.10243490180605944,0.12228079752317353,0.0316245067023079,0.3525396499209961,0.05628321729230121,0.006238833891429207,0.08087887185863471,0.04461962097389449,0.17946140821208484,0.014553160356753178,0.11710568485927758,0.08534980445281623,0.0503610482917059,0.07894721364265796,0.03928762749404083
8,0.01182764930907329,0.04148736977171141,0.20211939961130151,0.13010754368307323,0.16475169311832677,0.26987282727199763,0.15736306674058714,0.04789178827155896,0.024751304026788906,0.019570201125981818,0.03195498743577922,0.06444452603072737,0.06118854068494939,0.058547289028599625,0.10495374341379243,0.13155980259506608,0.017071994123505407,0.14144209917993777,0.14356340057091255,0.06493814854437452,0.043931996003663154,0.12678697212679968,0.06980873712537972,0.017848217454400683,0.20817197114229202,0.15816643278094145,0.009978583960781578,0.09596794250363487,0.09776720446655073,0.06374776338219718,0.10139193748313989,0.20995688989814532,0.05371050865926376,0.08252603523920554,0.1015336384967416,0.10762194529466933,0.03296598673067416,0.19669077511974223,0.15903617091759456,0.12745840406920128,0.058912533151555396,0.04082960288816617,0.025167760336302997,0.024220507157902582,0.04199533469066753,0.10243490180605944,0.12228079752317353,0.0316245067023079,0.3525396499209961,0.05628321729230121,0.014463573263801183,0.08087887185863471,0.25098881466627687,0.17946140821208484,0.014553160356753178,0.11710568485927758,0.08534980445281623,0.06993918493246369,0.07894721364265796,0.03928762749404083
9,0.01182764930907329,0.04148736977171141,0.20211939961130151,0.13010754368307323,0.16475169311832677,0.26987282727199763,0.15736306674058714,0.04789178827155896,0.02518357066317367,0.019570201125981818,0.03195498743577922,0.06444452603072737,0.06118854068494939,0.058547289028599625,0.19259504107256692,0.13155980259506608,0.017071994123505407,0.14144209917993777,0.14356340057091255,0.06493814854437452,0.043931996003663154,0.12678697212679968,0.19314086401447778,0.017848217454400683,0.20817197114229202,0.15816643278094145,0.0579974271204068,0.09596794250363487,0.09776720446655073,0.0641375176217649,0.10139193748313989,0.20995688989814532,0.08396389527270194,0.08252603523920554,0.1015336384967416,0.10762194529466933,0.03296598673067416,0.19669077511974223,0.15903617091759456,0.12745840406920128,0.058912533151555396,0.04082960288816617,0.025167760336302997,0.04597733069980389,0.04199533469066753,0.10243490180605944,0.12228079752317353,0.0316245067023079,0.3525396499209961,0.05628321729230121,0.016706574516388628,0.08087887185863471,0.25098881466627687,0.17946140821208484,0.0344100704961012,0.11710568485927758,0.08534980445281623,0.06993918493246369,0.07894721364265796,0.03928762749404083
