g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,0.008902033043062483,-0.011815514864536419,-0.0044873592927715525,0.011522065526382722,0.005789318180644016,0.009132326241978473,-0.0010806126019733396,0.00025925348389926834,0.005256140328326808,0.0080205072179681,0.004014789505707611,-0.03343904463326969,-0.0010978478120392927,-0.026858683342014012,0.011918896187842693,0.010524388926315832,0.006829262529625008,-0.00451568320076778,-0.008296165371537587,0.007836578872493054,0.018708889809570535,-0.006136571311292932,-0.0491674388743173,0.055870539666259524,0.0061497812658467075,0.029215218972842568,-0.025441041125437085,0.006602991164839544,0.020749020342059287,0.006700786227255459,0.004737465712827382,-0.008196832398069634,0.002236098719992995,-0.0008978937149118555,0.0030250009010366614,0.018780379579164203,0.011972377515117323,0.004205380991947608,0.011201370870798217,0.0015604066363929662,-0.0030454795809075823,-0.010258400452636944,-0.055408365747341565,0.034575514712074144,0.0038906600687254145,-0.0038608649666193396,0.021645651567141995,0.04237168535658031,-0.003964085484988026,0.015485950005198762,-0.009596767681585504,-0.016754949868283568,-0.01140506795945164,-0.02298382920116993,-0.05339282468477719,0.04216437528890364,0.03659364233916654,-0.003889915918216364,-0.012723071416575575,0.0007551724900391603
1,0.03060334535759067,0.012016053162580732,-0.0009623097779424723,0.036607883840288034,0.005789318180644016,0.009132326241978473,0.022067391597710685,0.00025925348389926834,0.005256140328326808,0.0080205072179681,0.009478330568324844,-0.028165011334254562,0.010028006322962255,-0.009319285076250723,0.011918896187842693,0.010524388926315832,0.016333133711973147,0.01258304110837124,-0.0013661696680040318,0.024218273964926963,0.018708889809570535,0.0007101334219879034,0.01823629436214421,0.055870539666259524,0.012427900268106107,0.046303653476666776,-0.023916385788931547,0.006602991164839544,0.020749020342059287,0.006700786227255459,0.005628528639273396,0.03141387922412158,0.01125218523107604,0.0034469171327603685,0.0030250009010366614,0.018780379579164203,0.011972377515117323,0.004205380991947608,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.00029851212765148256,0.0037307190300041957,0.034575514712074144,0.013807758884095026,0.0013830627399049038,0.03125531187013316,0.04237168535658031,-0.003964085484988026,0.015485950005198762,-0.009596767681585504,-0.005618208041523729,-0.01140506795945164,-0.013887813868815142,0.004128187779142043,0.04216437528890364,0.03659364233916654,-0.0017096011153489928,-0.010188664141139319,0.0007551724900391603
2,0.03060334535759067,0.012016053162580732,0.001721586215271779,0.07958222846775019,0.005789318180644016,0.009132326241978473,0.022067391597710685,0.00025925348389926834,0.005256140328326808,0.0080205072179681,0.01666124763366743,0.002849241104252924,0.010028006322962255,0.008506902808282963,0.011918896187842693,0.015336189287579526,0.016333133711973147,0.01258304110837124,-0.0013661696680040318,0.024218273964926963,0.018708889809570535,0.005030065692986266,0.0222813169068092,0.055870539666259524,0.012427900268106107,0.046303653476666776,0.001659092968728917,0.006602991164839544,0.020749020342059287,0.015017858806715731,0.018270603977338533,0.03141387922412158,0.01125218523107604,0.004033978324696176,0.005307310512296316,0.018780379579164203,0.011972377515117323,0.004205380991947608,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.00029851212765148256,0.010257991597529673,0.034575514712074144,0.013807758884095026,0.0013830627399049038,0.03125531187013316,0.04237168535658031,-0.003964085484988026,0.015485950005198762,0.004670067915688085,0.00574567845768794,-0.01140506795945164,-0.007497661938236337,0.004128187779142043,0.04216437528890364,0.03659364233916654,-0.0017096011153489928,-0.010188664141139319,0.017078414987659815
3,0.030782709579943536,0.0374691670608454,0.001721586215271779,0.07958222846775019,0.005968993748727105,0.009132326241978473,0.022067391597710685,0.00025925348389926834,0.007102701061848533,0.0080205072179681,0.01666124763366743,0.002849241104252924,0.010028006322962255,0.008506902808282963,0.0363458983831406,0.015336189287579526,0.016333133711973147,0.01258304110837124,0.020441547615864333,0.024218273964926963,0.018708889809570535,0.005030065692986266,0.0222813169068092,0.055870539666259524,0.012427900268106107,0.046303653476666776,0.001659092968728917,0.006602991164839544,0.04517983566720702,0.015017858806715731,0.018270603977338533,0.03141387922412158,0.01125218523107604,0.004033978324696176,0.005307310512296316,0.018780379579164203,0.011972377515117323,0.004205380991947608,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.01477763333686744,0.011699356391455197,0.034575514712074144,0.04334192418649854,0.0013830627399049038,0.03125531187013316,0.04237168535658031,-0.003964085484988026,0.015485950005198762,0.004670067915688085,0.007620480986046272,-0.009281025475940546,-0.007497661938236337,0.036796723579122816,0.04216437528890364,0.03659364233916654,0.004049644831275233,-0.004812686499111256,0.017078414987659815
4,0.030782709579943536,0.0374691670608454,0.005796667308429955,0.07958222846775019,0.005968993748727105,0.06627831079900752,0.022067391597710685,0.00025925348389926834,0.007102701061848533,0.010245457365851932,0.01666124763366743,0.002849241104252924,0.010028006322962255,0.016398066403633033,0.0363458983831406,0.015336189287579526,0.04961031106865221,0.01258304110837124,0.020441547615864333,0.024218273964926963,0.018708889809570535,0.005030065692986266,0.0222813169068092,0.055870539666259524,0.012427900268106107,0.046303653476666776,0.0016670887376468587,0.008314958165600073,0.04517983566720702,0.015017858806715731,0.018270603977338533,0.03141387922412158,0.01125218523107604,0.010788317728240931,0.005307310512296316,0.018780379579164203,0.011972377515117323,0.004205380991947608,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.01477763333686744,0.011699356391455197,0.034575514712074144,0.04334192418649854,0.0013830627399049038,0.03125531187013316,0.04237168535658031,-0.003964085484988026,0.015485950005198762,0.008419792720762527,0.007620480986046272,-0.004935068465415301,-0.007497661938236337,0.036796723579122816,0.04216437528890364,0.03659364233916654,0.004049644831275233,-0.004812686499111256,0.017078414987659815
5,0.030782709579943536,0.0374691670608454,0.005796667308429955,0.07958222846775019,0.005968993748727105,0.06627831079900752,0.022067391597710685,0.006644251316857482,0.007102701061848533,0.010245457365851932,0.01666124763366743,0.002849241104252924,0.010028006322962255,0.016398066403633033,0.0363458983831406,0.015336189287579526,0.04961031106865221,0.018464974379611844,0.020441547615864333,0.024218273964926963,0.018708889809570535,0.005030065692986266,0.0222813169068092,0.055870539666259524,0.04796562040598237,0.046303653476666776,0.0016670887376468587,0.008314958165600073,0.04517983566720702,0.021331992982922376,0.018270603977338533,0.03141387922412158,0.01125218523107604,0.010788317728240931,0.005307310512296316,0.018780379579164203,0.011972377515117323,0.009824540177570262,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.01477763333686744,0.011699356391455197,0.034575514712074144,0.04334192418649854,0.010655530484991361,0.03125531187013316,0.04237168535658031,-0.003964085484988026,0.020968087987778973,0.008419792720762527,0.011863798257738057,-0.0025775603068525026,-0.007497661938236337,0.036796723579122816,0.04216437528890364,0.03659364233916654,0.004049644831275233,-0.004812686499111256,0.017078414987659815
6,0.030782709579943536,0.0374691670608454,0.017734724944208007,0.07958222846775019,0.005968993748727105,0.06627831079900752,0.022067391597710685,0.006644251316857482,0.007102701061848533,0.010245457365851932,0.01953279443559281,0.002849241104252924,0.010028006322962255,0.016398066403633033,0.044667998682936735,0.015336189287579526,0.04961031106865221,0.018464974379611844,0.020441547615864333,0.024218273964926963,0.018708889809570535,0.007561740995174349,0.0222813169068092,0.055870539666259524,0.04796562040598237,0.046303653476666776,0.04863699470593908,0.008314958165600073,0.04517983566720702,0.02178002975285919,0.018270603977338533,0.03141387922412158,0.021671770394664273,0.010788317728240931,0.005307310512296316,0.04063729804186203,0.011972377515117323,0.03647387174240748,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.01477763333686744,0.043053739499360026,0.04130097594379524,0.04334192418649854,0.010655530484991361,0.03125531187013316,0.05543403295248594,0.039157529949597,0.020968087987778973,0.01633267011475946,0.011863798257738057,-0.0025775603068525026,-0.0052723901804773285,0.036796723579122816,0.04216437528890364,0.03659364233916654,0.006497171251761655,-0.0006781144218088022,0.04470300797067864
7,0.030782709579943536,0.0374691670608454,0.017734724944208007,0.07958222846775019,0.005968993748727105,0.06627831079900752,0.022067391597710685,0.006644251316857482,0.007102701061848533,0.030985630014962226,0.01953279443559281,0.002849241104252924,0.010028006322962255,0.016398066403633033,0.044667998682936735,0.020489813046812303,0.04961031106865221,0.018464974379611844,0.020441547615864333,0.024218273964926963,0.018708889809570535,0.019144382083684654,0.0222813169068092,0.055870539666259524,0.04796562040598237,0.046303653476666776,0.04863699470593908,0.009116536565659987,0.07071062348239919,0.029493695489546914,0.018270603977338533,0.04876903608798877,0.021671770394664273,0.010788317728240931,0.032967130040791874,0.04063729804186203,0.011972377515117323,0.19691012124376514,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.01477763333686744,0.043053739499360026,0.04130097594379524,0.04334192418649854,0.010655530484991361,0.03125531187013316,0.05543403295248594,0.039157529949597,0.020968087987778973,0.01633267011475946,0.011863798257738057,-0.0025775603068525026,-0.0052723901804773285,0.036796723579122816,0.05609352821535104,0.03659364233916654,0.006497171251761655,-0.0006781144218088022,0.04470300797067864
8,0.030782709579943536,0.0374691670608454,0.017734724944208007,0.07958222846775019,0.009976784818267985,0.06627831079900752,0.022067391597710685,0.006644251316857482,0.007102701061848533,0.030985630014962226,0.01953279443559281,0.002849241104252924,0.010028006322962255,0.016398066403633033,0.044667998682936735,0.020489813046812303,0.04961031106865221,0.018464974379611844,0.020441547615864333,0.024218273964926963,0.018708889809570535,0.019144382083684654,0.0222813169068092,0.055870539666259524,0.04796562040598237,0.046303653476666776,0.04863699470593908,0.009116536565659987,0.07071062348239919,0.029493695489546914,0.018270603977338533,0.04876903608798877,0.021671770394664273,0.010788317728240931,0.032967130040791874,0.04063729804186203,0.011972377515117323,0.19691012124376514,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.01477763333686744,0.043053739499360026,0.04130097594379524,0.04334192418649854,0.010655530484991361,0.03125531187013316,0.05543403295248594,0.039157529949597,0.020968087987778973,0.01633267011475946,0.011863798257738057,0.008615990140837375,-0.0012430238782464435,0.036796723579122816,0.05609352821535104,0.03659364233916654,0.006497171251761655,0.002746178824785588,0.04470300797067864
9,0.030782709579943536,0.0374691670608454,0.017734724944208007,0.07958222846775019,0.009976784818267985,0.06627831079900752,0.022067391597710685,0.006644251316857482,0.0355773500015376,0.030985630014962226,0.01953279443559281,0.002849241104252924,0.010028006322962255,0.016398066403633033,0.044667998682936735,0.020489813046812303,0.04961031106865221,0.018464974379611844,0.020441547615864333,0.024218273964926963,0.018708889809570535,0.019144382083684654,0.0222813169068092,0.055870539666259524,0.04796562040598237,0.046303653476666776,0.04863699470593908,0.014636716890815547,0.07071062348239919,0.044952880026091394,0.018270603977338533,0.04876903608798877,0.021671770394664273,0.010788317728240931,0.032967130040791874,0.04063729804186203,0.011972377515117323,0.19691012124376514,0.011201370870798217,0.04655702389481748,0.023866049566739423,0.01477763333686744,0.043053739499360026,0.04130097594379524,0.04334192418649854,0.010655530484991361,0.042180457493353266,0.05543403295248594,0.039157529949597,0.020968087987778973,0.01633267011475946,0.05991457172093661,0.008615990140837375,0.0018564912937631994,0.036796723579122816,0.05609352821535104,0.03659364233916654,0.006497171251761655,0.01925680355265778,0.04470300797067864
