g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-0.11726143769919872,-0.11207779801770812,-0.2696318179368973,-0.11450382485054433,-0.21296260505914688,-0.10727326152846217,-0.27820613980293274,-0.14915421605110168,-0.1362996008247137,-0.17474889755249023,-0.1865767166018486,-0.15067647397518158,-0.17975612729787827,-0.16414561122655869,-0.14391803368926048,-0.3809032589197159,-0.27702435851097107,-0.31646597385406494,-0.19987763464450836,-0.24798810482025146,-0.20243503898382187,-0.8956169933080673,-0.13737818226218224,-0.16101039201021194,-0.07361408323049545,-0.1162334899418056,-0.09018273651599884,-0.17749358713626862,-0.17074116691946983,-0.24436263740062714,-0.38110943138599396,-0.31469908356666565,-0.3177175670862198,-0.26052430272102356,-0.16283389925956726,-0.10660221101716161,-0.042746976017951965,-0.27093032002449036,-0.17583951354026794,-0.14987225830554962,-0.21083498001098633,-0.2505122870206833,-0.3354724645614624,-0.16614634171128273,-0.18812841922044754,-0.15121013671159744,-0.13561033457517624,-0.32315441966056824,-0.16877255961298943,-0.0904025211930275,-0.15390998125076294,-0.2286086156964302,-0.22118326276540756,-0.2416037917137146,-0.32079464197158813,-0.19253485649824142,-0.28799672424793243,-0.17864900082349777,-0.06511387974023819,-0.3014882802963257
1,-0.11726143769919872,-0.11207779801770812,-0.16298790648579597,-0.11450382485054433,-0.21296260505914688,-0.09222039580345154,-0.19898193329572678,-0.14810717478394508,-0.1362996008247137,-0.17474889755249023,-0.13889621943235397,-0.15067647397518158,-0.17975612729787827,-0.16414561122655869,-0.14391803368926048,-0.12298948038369417,-0.27702435851097107,-0.19978882372379303,-0.19987763464450836,-0.24798810482025146,-0.12447018083184958,-0.20732805132865906,-0.12846986204385757,-0.1309036761522293,-0.07361408323049545,-0.07649333775043488,-0.09018273651599884,-0.17749358713626862,-0.1441115289926529,-0.24436263740062714,-0.1878458634018898,-0.28707490861415863,-0.18081911653280258,-0.25461041927337646,-0.16283389925956726,-0.10660221101716161,-0.042746976017951965,-0.20334715396165848,-0.17583951354026794,-0.14987225830554962,-0.1714375801384449,-0.11759630730375648,-0.06883886456489563,-0.16614634171128273,-0.18812841922044754,-0.15121013671159744,-0.13561033457517624,-0.32315441966056824,-0.16877255961298943,-0.04434433579444885,-0.15390998125076294,-0.059934090822935104,-0.21467827260494232,-0.2416037917137146,-0.22388767451047897,-0.19253485649824142,-0.13826732896268368,-0.17470946162939072,-0.0532977432012558,-0.25920622050762177
2,-0.11726143769919872,-0.11207779801770812,-0.16298790648579597,-0.10754929855465889,-0.11712246714159846,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.1362996008247137,-0.17474889755249023,-0.13889621943235397,-0.14478372037410736,-0.17975612729787827,-0.12062112987041473,-0.12312675826251507,-0.12298948038369417,-0.27702435851097107,-0.19978882372379303,-0.19987763464450836,-0.21704915910959244,-0.12447018083184958,-0.20732805132865906,-0.12846986204385757,-0.1309036761522293,-0.07361408323049545,-0.07649333775043488,-0.09018273651599884,-0.16754887625575066,-0.1441115289926529,-0.1509692184627056,-0.1878458634018898,-0.18662061542272568,-0.18081911653280258,-0.25461041927337646,-0.12391529977321625,-0.10660221101716161,-0.042746976017951965,-0.20334715396165848,-0.16210241615772247,-0.14987225830554962,-0.1714375801384449,-0.11759630730375648,-0.06883886456489563,-0.16614634171128273,-0.18812841922044754,-0.15121013671159744,-0.13561033457517624,-0.16854199022054672,-0.16877255961298943,-0.04434433579444885,-0.11890191677957773,-0.059934090822935104,-0.1948152408003807,-0.2416037917137146,-0.14542561769485474,-0.1168216671794653,-0.13826732896268368,-0.17470946162939072,-0.0532977432012558,-0.2224026843905449
3,-0.08252278342843056,-0.09082304686307907,-0.16298790648579597,-0.07363723963499069,-0.11712246714159846,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.16680331900715828,-0.13889621943235397,-0.13323169946670532,-0.17975612729787827,-0.07208415493369102,-0.12312675826251507,-0.12298948038369417,-0.18909630924463272,-0.19978882372379303,-0.19987763464450836,-0.16958365216851234,-0.12447018083184958,-0.14301970414817333,-0.12846986204385757,-0.1309036761522293,-0.07361408323049545,-0.07649333775043488,-0.09018273651599884,-0.16754887625575066,-0.1441115289926529,-0.1509692184627056,-0.1878458634018898,-0.15981173515319824,-0.1444246470928192,-0.1869772970676422,-0.12391529977321625,-0.10660221101716161,-0.042746976017951965,-0.11705996235832572,-0.16210241615772247,-0.14987225830554962,-0.1714375801384449,-0.11759630730375648,-0.06883886456489563,-0.16614634171128273,-0.18812841922044754,-0.1454729065299034,-0.13561033457517624,-0.16854199022054672,-0.16877255961298943,-0.04434433579444885,-0.11890191677957773,-0.059934090822935104,-0.06610065698623657,-0.13098667562007904,-0.14542561769485474,-0.1168216671794653,-0.1352860163897276,-0.17470946162939072,-0.0532977432012558,-0.18034495413303375
4,-0.08252278342843056,-0.09082304686307907,-0.16298790648579597,-0.07363723963499069,-0.11712246714159846,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.16680331900715828,-0.13889621943235397,-0.13323169946670532,-0.17975612729787827,-0.07208415493369102,-0.12312675826251507,-0.10279099084436893,-0.07215683162212372,-0.19331026077270508,-0.18081915378570557,-0.16958365216851234,-0.12447018083184958,-0.1255727605894208,-0.12846986204385757,-0.1309036761522293,-0.07361408323049545,-0.07649333775043488,-0.09018273651599884,-0.16754887625575066,-0.1441115289926529,-0.15057983994483948,-0.1810063198208809,-0.15981173515319824,-0.1444246470928192,-0.15653622522950172,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.11705996235832572,-0.16210241615772247,-0.06164533644914627,-0.1714375801384449,-0.11759630730375648,-0.06883886456489563,-0.16614634171128273,-0.09848709776997566,-0.1454729065299034,-0.13561033457517624,-0.16854199022054672,-0.16877255961298943,-0.04434433579444885,-0.11890191677957773,-0.059934090822935104,-0.06610065698623657,-0.13098667562007904,-0.14542561769485474,-0.1168216671794653,-0.1352860163897276,-0.0852565485984087,-0.0532977432012558,-0.18034495413303375
5,-0.08252278342843056,-0.06437460705637932,-0.16298790648579597,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.16680331900715828,-0.13889621943235397,-0.13323169946670532,-0.17975612729787827,-0.07208415493369102,-0.12312675826251507,-0.10279099084436893,-0.07215683162212372,-0.19331026077270508,-0.18081915378570557,-0.16958365216851234,-0.0540725402534008,-0.1255727605894208,-0.12846986204385757,-0.1309036761522293,-0.07361408323049545,-0.07649333775043488,-0.09018273651599884,-0.16754887625575066,-0.06340817362070084,-0.0425228476524353,-0.11745582660660148,-0.04400336742401123,-0.1444246470928192,-0.15653622522950172,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.11705996235832572,-0.16210241615772247,-0.06164533644914627,-0.07097980007529259,-0.11759630730375648,-0.06883886456489563,-0.16614634171128273,-0.09848709776997566,-0.1454729065299034,-0.13561033457517624,-0.16475921496748924,-0.16877255961298943,-0.04434433579444885,-0.11890191677957773,-0.059934090822935104,-0.06610065698623657,-0.12265236303210258,-0.13546842336654663,-0.09245217591524124,-0.1352860163897276,-0.0852565485984087,-0.0532977432012558,-0.18034495413303375
6,-0.08252278342843056,-0.06437460705637932,-0.16298790648579597,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.17975612729787827,-0.07208415493369102,-0.12312675826251507,-0.10279099084436893,-0.07215683162212372,-0.19331026077270508,-0.12439291179180145,-0.16958365216851234,-0.0540725402534008,-0.1255727605894208,-0.10674297669902444,-0.10385056305676699,-0.07361408323049545,-0.06712552532553673,-0.09018273651599884,-0.15358725935220718,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.15653622522950172,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.11411707184743136,-0.16210241615772247,-0.06164533644914627,-0.07097980007529259,-0.11759630730375648,-0.06883886456489563,-0.11299845849862322,-0.09848709776997566,-0.11202496659825556,-0.13561033457517624,-0.16475921496748924,-0.16877255961298943,-0.04434433579444885,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.12265236303210258,-0.13546842336654663,-0.09245217591524124,-0.11610073130577803,-0.0852565485984087,-0.0532977432012558,-0.18034495413303375
7,-0.06882593408226967,-0.06437460705637932,-0.11392431752756238,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.17975612729787827,-0.07208415493369102,-0.12312675826251507,-0.10279099084436893,-0.07215683162212372,-0.19331026077270508,-0.10182477999478579,-0.16958365216851234,-0.0540725402534008,-0.09857788775116205,-0.10674297669902444,-0.10385056305676699,-0.07361408323049545,-0.06712552532553673,-0.09018273651599884,-0.15358725935220718,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.15653622522950172,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.10629987996071577,-0.16210241615772247,-0.06164533644914627,-0.07097980007529259,-0.11759630730375648,-0.06883886456489563,-0.11299845849862322,-0.09848709776997566,-0.11202496659825556,-0.13561033457517624,-0.16475921496748924,-0.1667083539068699,-0.04434433579444885,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.06573131307959557,-0.13546842336654663,-0.09245217591524124,-0.10963643551804125,-0.0852565485984087,-0.0532977432012558,-0.18034495413303375
8,-0.06882593408226967,-0.06437460705637932,-0.11392431752756238,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.17975612729787827,-0.07208415493369102,-0.12312675826251507,-0.09993093460798264,-0.07215683162212372,-0.17329712584614754,-0.10182477999478579,-0.15604976564645767,-0.0540725402534008,-0.08289114758372307,-0.10674297669902444,-0.10385056305676699,-0.07361408323049545,-0.06712552532553673,-0.08851866982877254,-0.13777140714228153,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.15653622522950172,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.10629987996071577,-0.16210241615772247,-0.06164533644914627,-0.07097980007529259,-0.09656303748488426,-0.06883886456489563,-0.11299845849862322,-0.09848709776997566,-0.11202496659825556,-0.13561033457517624,-0.16475921496748924,-0.14158342592418194,-0.04434433579444885,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.06573131307959557,-0.13546842336654663,-0.09245217591524124,-0.10963643551804125,-0.0852565485984087,-0.0532977432012558,-0.18034495413303375
9,-0.06882593408226967,-0.06437460705637932,-0.11392431752756238,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.17975612729787827,-0.07208415493369102,-0.10372071526944637,-0.09993093460798264,-0.07215683162212372,-0.17329712584614754,-0.10182477999478579,-0.15604976564645767,-0.04901500046253204,-0.08289114758372307,-0.10674297669902444,-0.10385056305676699,-0.07361408323049545,-0.06712552532553673,-0.08851866982877254,-0.13777140714228153,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.15653622522950172,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.10629987996071577,-0.15303180366754532,-0.06164533644914627,-0.07097980007529259,-0.09656303748488426,-0.06883886456489563,-0.09204159490764141,-0.09848709776997566,-0.11202496659825556,-0.13561033457517624,-0.16475921496748924,-0.14158342592418194,-0.04434433579444885,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.06573131307959557,-0.13546842336654663,-0.09245217591524124,-0.10963643551804125,-0.0852565485984087,-0.0532977432012558,-0.18034495413303375
10,-0.06882593408226967,-0.06437460705637932,-0.11392431752756238,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.106057517696172,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.15979843214154243,-0.07208415493369102,-0.10372071526944637,-0.09993093460798264,-0.07215683162212372,-0.17329712584614754,-0.10182477999478579,-0.14514875784516335,-0.04901500046253204,-0.08289114758372307,-0.10674297669902444,-0.10385056305676699,-0.07361408323049545,-0.06712552532553673,-0.08851866982877254,-0.13777140714228153,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.14359517022967339,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.10629987996071577,-0.13237153366208076,-0.06164533644914627,-0.07097980007529259,-0.09656303748488426,-0.06415687501430511,-0.09204159490764141,-0.07513079047203064,-0.11202496659825556,-0.13561033457517624,-0.15859374776482582,-0.14158342592418194,-0.04434433579444885,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.06573131307959557,-0.13546842336654663,-0.09245217591524124,-0.10963643551804125,-0.0852565485984087,-0.0532977432012558,-0.14621318131685257
11,-0.06882593408226967,-0.028505682945251465,-0.11392431752756238,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.04845964163541794,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.15979843214154243,-0.07208415493369102,-0.10091033577919006,-0.09993093460798264,-0.07215683162212372,-0.17329712584614754,-0.10182477999478579,-0.14514875784516335,-0.04901500046253204,-0.08289114758372307,-0.10674297669902444,-0.10385056305676699,-0.07361408323049545,-0.06712552532553673,-0.08851866982877254,-0.13777140714228153,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.14359517022967339,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.10629987996071577,-0.13237153366208076,-0.06164533644914627,-0.07097980007529259,-0.09656303748488426,-0.06415687501430511,-0.09204159490764141,-0.07434291392564774,-0.11202496659825556,-0.07695475965738297,-0.15859374776482582,-0.14158342592418194,-0.04434433579444885,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.06573131307959557,-0.13546842336654663,-0.09245217591524124,-0.10963643551804125,-0.0852565485984087,-0.0532977432012558,-0.14621318131685257
12,-0.06882593408226967,-0.028505682945251465,-0.11392431752756238,-0.07363723963499069,-0.04114258289337158,-0.09222039580345154,-0.038493819534778595,-0.14810717478394508,-0.04845964163541794,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.15093432739377022,-0.07208415493369102,-0.10091033577919006,-0.09993093460798264,-0.07215683162212372,-0.17329712584614754,-0.10182477999478579,-0.12335509806871414,-0.04901500046253204,-0.08289114758372307,-0.10674297669902444,-0.09014419093728065,-0.07361408323049545,-0.06712552532553673,-0.08851866982877254,-0.13777140714228153,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.09854386933147907,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.10629987996071577,-0.13237153366208076,-0.026874907314777374,-0.07097980007529259,-0.09656303748488426,-0.06415687501430511,-0.09204159490764141,-0.07434291392564774,-0.09723225142806768,-0.07695475965738297,-0.15859374776482582,-0.14158342592418194,-0.03073849529027939,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.06573131307959557,-0.13546842336654663,-0.09245217591524124,-0.10963643551804125,-0.0852565485984087,-0.0532977432012558,-0.14621318131685257
13,-0.06882593408226967,-0.028505682945251465,-0.11392431752756238,-0.07363723963499069,-0.04114258289337158,-0.06667506322264671,-0.038493819534778595,-0.14810717478394508,-0.04845964163541794,-0.10610874090343714,-0.13889621943235397,-0.09792676195502281,-0.10314769204705954,-0.07208415493369102,-0.10091033577919006,-0.09993093460798264,-0.07215683162212372,-0.17329712584614754,-0.10182477999478579,-0.12335509806871414,-0.04901500046253204,-0.08289114758372307,-0.10674297669902444,-0.09014419093728065,-0.07361408323049545,-0.06712552532553673,-0.08851866982877254,-0.13777140714228153,-0.06340817362070084,-0.0425228476524353,-0.032549917697906494,-0.04400336742401123,-0.04545988142490387,-0.09854386933147907,-0.06374893337488174,-0.10660221101716161,-0.042746976017951965,-0.10629987996071577,-0.11970852687954903,-0.026874907314777374,-0.07097980007529259,-0.04085031896829605,-0.06415687501430511,-0.09204159490764141,-0.07434291392564774,-0.09723225142806768,-0.07695475965738297,-0.15859374776482582,-0.14158342592418194,-0.03073849529027939,-0.1037685014307499,-0.059934090822935104,-0.06610065698623657,-0.06573131307959557,-0.13546842336654663,-0.09245217591524124,-0.10963643551804125,-0.0852565485984087,-0.0532977432012558,-0.06250784918665886
