g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,0.9171953099215262,0.9195011309368912,0.849416905854248,0.9184219695756246,0.8746248813322305,0.9216383167535578,0.8456028190800834,0.9030085525308099,0.9087266278127927,0.891623356391848,0.8863620274018471,0.9023314116553198,0.8893960072153797,0.8963399806065996,0.9053377459300597,0.7999204047868061,0.8461285068797776,0.8285838257047353,0.8804454247382928,0.8590446060073078,0.8793078231624288,0.570962024464277,0.9082468460574794,0.8977346096319623,0.9366108158947505,0.9176525684671304,0.9292406375472028,0.8904024453502245,0.8934061017378523,0.8606573104930269,0.7998286937816544,0.8293697855720998,0.8280270836943491,0.8534681712339589,0.8969234650317217,0.9219368178968477,0.9503413274402099,0.8488392975353753,0.8911382213479733,0.9026891482083725,0.8755713056306599,0.8579217825238105,0.8201292323312903,0.8954500023902835,0.8856717887418688,0.9020940242541201,0.9090332318016927,0.8256086268389973,0.8942817907087682,0.9291428714680987,0.9008930614829508,0.8676651190125434,0.8709681137974609,0.8618845185464236,0.8266583188162906,0.8837116880592721,0.8412477063112316,0.889888486563512,0.9403919328409573,0.8352463027843926
1,0.9171953099215262,0.9195011309368912,0.8968549585149542,0.9184219695756246,0.8746248813322305,0.9283342324157005,0.880843856558484,0.9034743043781817,0.9087266278127927,0.891623356391848,0.9075715826857628,0.9023314116553198,0.8893960072153797,0.8963399806065996,0.9053377459300597,0.9146473239482766,0.8461285068797776,0.8804849302016279,0.8804454247382928,0.8590446060073078,0.9139886689451119,0.8771312809283202,0.9122095041959994,0.9111268788471323,0.9366108158947505,0.9353300467848975,0.9292406375472028,0.8904024453502245,0.9052516740646618,0.8606573104930269,0.8857974770968621,0.841657754461036,0.8889231612871128,0.8560988241292008,0.8969234650317217,0.9219368178968477,0.9503413274402099,0.8789020901227975,0.8911382213479733,0.9026891482083725,0.893096318586561,0.9170463510009528,0.9387349603624726,0.8954500023902835,0.8856717887418688,0.9020940242541201,0.9090332318016927,0.8256086268389973,0.8942817907087682,0.9496307792601546,0.9008930614829508,0.9426960409338326,0.8738617067048349,0.8618845185464236,0.8697651194114404,0.8837116880592721,0.9078513299194501,0.8916408985409614,0.9456480651391369,0.854054489314379
2,0.9171953099215262,0.9195011309368912,0.8968549585149542,0.9215155281310584,0.9172571277275314,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9087266278127927,0.891623356391848,0.9075715826857628,0.9049526654319361,0.8893960072153797,0.9157008293461866,0.9145862590908831,0.9146473239482766,0.8461285068797776,0.8804849302016279,0.8804454247382928,0.872807073230408,0.9139886689451119,0.8771312809283202,0.9122095041959994,0.9111268788471323,0.9366108158947505,0.9353300467848975,0.9292406375472028,0.8948261176633112,0.9052516740646618,0.9022011911089584,0.8857974770968621,0.8863425000369167,0.8889231612871128,0.8560988241292008,0.9142354948212609,0.9219368178968477,0.9503413274402099,0.8789020901227975,0.8972488482011269,0.9026891482083725,0.893096318586561,0.9170463510009528,0.9387349603624726,0.8954500023902835,0.8856717887418688,0.9020940242541201,0.9090332318016927,0.8943843541165786,0.8942817907087682,0.9496307792601546,0.9164655811264651,0.9426960409338326,0.8826973123753763,0.8618845185464236,0.9046671324044051,0.917390931563586,0.9078513299194501,0.8916408985409614,0.9456480651391369,0.8704256825748833
3,0.9326479887311775,0.9289558104478338,0.8968549585149542,0.9366005153091762,0.9172571277275314,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9221791119959055,0.8951577613881057,0.9075715826857628,0.9100913120615113,0.8893960072153797,0.9372913687563565,0.9145862590908831,0.9146473239482766,0.885241245475851,0.8804849302016279,0.8804454247382928,0.8939209951336805,0.9139886689451119,0.9057373468401998,0.9122095041959994,0.9111268788471323,0.9366108158947505,0.9353300467848975,0.9292406375472028,0.8948261176633112,0.9052516740646618,0.9022011911089584,0.8857974770968621,0.8982678041325335,0.9051123907926718,0.8861838385397489,0.9142354948212609,0.9219368178968477,0.9503413274402099,0.9172849315201727,0.8972488482011269,0.9026891482083725,0.893096318586561,0.9170463510009528,0.9387349603624726,0.8954500023902835,0.8856717887418688,0.9046460970708659,0.9090332318016927,0.8943843541165786,0.8942817907087682,0.9496307792601546,0.9164655811264651,0.9426960409338326,0.9399529880355474,0.9110899584728409,0.9046671324044051,0.917390931563586,0.9091774971699711,0.8916408985409614,0.9456480651391369,0.8891340813535648
4,0.9326479887311775,0.9289558104478338,0.8968549585149542,0.9366005153091762,0.9172571277275314,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9221791119959055,0.8951577613881057,0.9075715826857628,0.9100913120615113,0.8893960072153797,0.9372913687563565,0.9145862590908831,0.9236321501553741,0.9372590402293346,0.8833667675822863,0.8889231447160292,0.8939209951336805,0.9139886689451119,0.9134982120977346,0.9122095041959994,0.9111268788471323,0.9366108158947505,0.9353300467848975,0.9292406375472028,0.8948261176633112,0.9052516740646618,0.9023743970462138,0.8888398882777372,0.8982678041325335,0.9051123907926718,0.899724838201677,0.9409990973445633,0.9219368178968477,0.9503413274402099,0.9172849315201727,0.8972488482011269,0.9419348332940619,0.893096318586561,0.9170463510009528,0.9387349603624726,0.8954500023902835,0.9255466364446615,0.9046460970708659,0.9090332318016927,0.8943843541165786,0.8942817907087682,0.9496307792601546,0.9164655811264651,0.9426960409338326,0.9399529880355474,0.9110899584728409,0.9046671324044051,0.917390931563586,0.9091774971699711,0.9314319371598238,0.9456480651391369,0.8891340813535648
5,0.9326479887311775,0.9407207810239462,0.8968549585149542,0.9366005153091762,0.9510550042408514,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9221791119959055,0.8951577613881057,0.9075715826857628,0.9100913120615113,0.8893960072153797,0.9372913687563565,0.9145862590908831,0.9236321501553741,0.9372590402293346,0.8833667675822863,0.8889231447160292,0.8939209951336805,0.945303414770814,0.9134982120977346,0.9122095041959994,0.9111268788471323,0.9366108158947505,0.9353300467848975,0.9292406375472028,0.8948261176633112,0.9411506763605947,0.9504410257076634,0.91710884055726,0.9497824510742542,0.9051123907926718,0.899724838201677,0.9409990973445633,0.9219368178968477,0.9503413274402099,0.9172849315201727,0.8972488482011269,0.9419348332940619,0.937782615215868,0.9170463510009528,0.9387349603624726,0.8954500023902835,0.9255466364446615,0.9046460970708659,0.9090332318016927,0.8960670333170732,0.8942817907087682,0.9496307792601546,0.9164655811264651,0.9426960409338326,0.9399529880355474,0.9147972827266077,0.9090963576876108,0.9282311304476728,0.9091774971699711,0.9314319371598238,0.9456480651391369,0.8891340813535648
6,0.9326479887311775,0.9407207810239462,0.8968549585149542,0.9366005153091762,0.9510550042408514,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9221791119959055,0.9221563265487981,0.9075715826857628,0.9257958887417287,0.8893960072153797,0.9372913687563565,0.9145862590908831,0.9236321501553741,0.9372590402293346,0.8833667675822863,0.9140230402724664,0.8939209951336805,0.945303414770814,0.9134982120977346,0.9218742015717508,0.9231608242097518,0.9366108158947505,0.9394970992971424,0.9292406375472028,0.9010366167802963,0.9411506763605947,0.9504410257076634,0.9548772506165875,0.9497824510742542,0.9491345548471256,0.899724838201677,0.9409990973445633,0.9219368178968477,0.9503413274402099,0.9185940076139778,0.8972488482011269,0.9419348332940619,0.937782615215868,0.9170463510009528,0.9387349603624726,0.9190915966298501,0.9255466364446615,0.9195246317596202,0.9090332318016927,0.8960670333170732,0.8942817907087682,0.9496307792601546,0.9231973274070131,0.9426960409338326,0.9399529880355474,0.9147972827266077,0.9090963576876108,0.9282311304476728,0.917711623044943,0.9314319371598238,0.9456480651391369,0.8891340813535648
7,0.938740712185595,0.9407207810239462,0.9186797498701657,0.9366005153091762,0.9510550042408514,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9221791119959055,0.9221563265487981,0.9075715826857628,0.9257958887417287,0.8893960072153797,0.9372913687563565,0.9145862590908831,0.9236321501553741,0.9372590402293346,0.8833667675822863,0.924061946479798,0.8939209951336805,0.945303414770814,0.9255062506425095,0.9218742015717508,0.9231608242097518,0.9366108158947505,0.9394970992971424,0.9292406375472028,0.9010366167802963,0.9411506763605947,0.9504410257076634,0.9548772506165875,0.9497824510742542,0.9491345548471256,0.899724838201677,0.9409990973445633,0.9219368178968477,0.9503413274402099,0.9220713028044387,0.8972488482011269,0.9419348332940619,0.937782615215868,0.9170463510009528,0.9387349603624726,0.9190915966298501,0.9255466364446615,0.9195246317596202,0.9090332318016927,0.8960670333170732,0.8952000043944537,0.9496307792601546,0.9231973274070131,0.9426960409338326,0.9399529880355474,0.9401172820440354,0.9090963576876108,0.9282311304476728,0.9205871140112852,0.9314319371598238,0.9456480651391369,0.8891340813535648
8,0.938740712185595,0.9407207810239462,0.9186797498701657,0.9366005153091762,0.9510550042408514,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9221791119959055,0.9221563265487981,0.9075715826857628,0.9257958887417287,0.8893960072153797,0.9372913687563565,0.9145862590908831,0.9249043793572868,0.9372590402293346,0.8922691431200325,0.924061946479798,0.8999412283828299,0.945303414770814,0.9324841305421885,0.9218742015717508,0.9231608242097518,0.9366108158947505,0.9394970992971424,0.929980858738131,0.9080719291558408,0.9411506763605947,0.9504410257076634,0.9548772506165875,0.9497824510742542,0.9491345548471256,0.899724838201677,0.9409990973445633,0.9219368178968477,0.9503413274402099,0.9220713028044387,0.8972488482011269,0.9419348332940619,0.937782615215868,0.9264025097137922,0.9387349603624726,0.9190915966298501,0.9255466364446615,0.9195246317596202,0.9090332318016927,0.8960670333170732,0.9063762416547094,0.9496307792601546,0.9231973274070131,0.9426960409338326,0.9399529880355474,0.9401172820440354,0.9090963576876108,0.9282311304476728,0.9205871140112852,0.9314319371598238,0.9456480651391369,0.8891340813535648
9,0.938740712185595,0.9407207810239462,0.9186797498701657,0.9366005153091762,0.9510550042408514,0.9283342324157005,0.9522332447421696,0.9034743043781817,0.9221791119959055,0.9221563265487981,0.9075715826857628,0.9257958887417287,0.8893960072153797,0.9372913687563565,0.9232185839645186,0.9249043793572868,0.9372590402293346,0.8922691431200325,0.924061946479798,0.8999412283828299,0.9475531431957027,0.9324841305421885,0.9218742015717508,0.9231608242097518,0.9366108158947505,0.9394970992971424,0.929980858738131,0.9080719291558408,0.9411506763605947,0.9504410257076634,0.9548772506165875,0.9497824510742542,0.9491345548471256,0.899724838201677,0.9409990973445633,0.9219368178968477,0.9503413274402099,0.9220713028044387,0.90128369826541,0.9419348332940619,0.937782615215868,0.9264025097137922,0.9387349603624726,0.928413767817167,0.9255466364446615,0.9195246317596202,0.9090332318016927,0.8960670333170732,0.9063762416547094,0.9496307792601546,0.9231973274070131,0.9426960409338326,0.9399529880355474,0.9401172820440354,0.9090963576876108,0.9282311304476728,0.9205871140112852,0.9314319371598238,0.9456480651391369,0.8891340813535648
