g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-0.14467808806024215,-0.36884379985969484,-0.044751715376461935,-0.09835382804249981,-0.5301629904139721,-0.49811068293933924,-0.20066175907486908,-0.02815310835888847,-0.20448185194992322,-0.0876954798695812,-0.1081166400172085,-0.1409467173155104,-0.09479135163526085,-0.16617860703862056,-0.05630394166545122,-0.2681536439857746,-0.2236684009032427,-0.14875542129328315,-0.721048719923509,-0.07110696767760027,-0.13221565331194937,-1.2185031134707762,-0.11621094812474289,-0.2467975166022484,-0.8397053203653737,-0.08105963234882398,-0.10132739692926407,-0.9036358015937914,-0.3954769891622597,-0.10948610678315163,-0.30998353993540384,-1.1135094872398366,-2.1791777670694623,-0.06424961734498852,-0.5343111624331127,-0.6083567729056207,-0.3889160523288064,-0.11173769083885596,-0.5033929305131025,-0.558538458414256,-0.009586788448393224,-0.20261886664142403,-0.2862791222564587,-0.03998155021737981,-0.1992873316957315,-0.1943254686924904,-1.183814843967415,-0.18505794000691322,-0.48742426082119883,-0.23638850568111622,-0.16723673425466062,-0.18340418659444013,-0.2180005466132616,-0.1465195268392563,-0.8184968177267529,-0.08138422615550862,-0.12453555828251085,-0.24256448928301538,-0.9933807078041159,-0.17636424210512605
1,-0.12464953507246124,-0.08744433127299642,-0.044751715376461935,-0.09835382804249981,-0.1042798004890649,-0.11586062444879303,-0.20066175907486908,-0.02815310835888847,-0.20448185194992322,-0.0876954798695812,-0.1081166400172085,-0.1373727754933546,-0.09479135163526085,-0.16617860703862056,-0.05630394166545122,-0.2681536439857746,-0.13524962419802053,-0.14875542129328315,-0.6907675720144735,-0.07110696767760027,-0.13221565331194937,-0.33308565173443894,-0.11621094812474289,-0.2330607036629575,-0.6929537206888199,-0.08105963234882398,-0.10132739692926407,-0.12511396050296758,-0.07648725361495079,-0.10948610678315163,-0.30998353993540384,-1.1135094872398366,-0.7997404041133516,-0.06424961734498852,-0.15631797345907456,-0.4022828165686757,-0.05859231340328742,-0.11173769083885596,-0.17492338195338264,-0.17000299896369156,-0.009586788448393224,-0.145147518455109,-0.27667928443113454,-0.03998155021737981,-0.1992873316957315,-0.06079169204170817,-1.079802793932795,-0.18447493524094588,-0.48742426082119883,-0.23638850568111622,-0.0188666356678637,-0.14070805832783967,-0.035676035768616915,-0.11484851064501,-0.3446866506323511,-0.08138422615550862,-0.12453555828251085,-0.13695415629422117,-0.0997468277620807,-0.17636424210512605
2,-0.12464953507246124,-0.08744433127299642,-0.044751715376461935,-0.09835382804249981,-0.1042798004890649,-0.10519917463718495,-0.011672228356734676,-0.02815310835888847,-0.20448185194992322,-0.0876954798695812,-0.1081166400172085,-0.0824589866572214,-0.09479135163526085,-0.1335755041772488,-0.05630394166545122,-0.2681536439857746,-0.13524962419802053,-0.11512172734940349,-0.6907675720144735,-0.07110696767760027,-0.13221565331194937,-0.33308565173443894,-0.11621094812474289,-0.2330607036629575,-0.5189204924110116,-0.08105963234882398,-0.10132739692926407,-0.12333655517557002,-0.07648725361495079,-0.10948610678315163,-0.2559239910145685,-1.0460626853570258,-0.37724667033428855,-0.06424961734498852,-0.12584927622517178,-0.4022828165686757,-0.05859231340328742,-0.11173769083885596,-0.17492338195338264,-0.100557081875708,-0.009586788448393224,-0.09450530633330345,-0.27667928443113454,-0.03998155021737981,-0.1392141371259152,-0.06079169204170817,-0.7581286255785645,-0.11781142722951553,-0.303977021753477,-0.23638850568111622,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.11484851064501,-0.21079628062377095,-0.08138422615550862,-0.12453555828251085,-0.13695415629422117,-0.0997468277620807,-0.17636424210512605
3,-0.10138736761316217,-0.04477480571912243,0.005761668888311339,-0.08051842812122875,-0.10076633195414064,0.012633874504246731,-0.011672228356734676,-0.02815310835888847,-0.15877243218767417,-0.07917236802648418,-0.041805662792590535,-0.0824589866572214,-0.09479135163526085,-0.1335755041772488,-0.05630394166545122,-0.22200372070190114,-0.13524962419802053,-0.11512172734940349,-0.6907675720144735,-0.07110696767760027,-0.13221565331194937,-0.33308565173443894,-0.043353899595934206,-0.2330607036629575,-0.5189204924110116,-0.08105963234882398,-0.10132739692926407,-0.06572238900689008,-0.07648725361495079,-0.10948610678315163,-0.2559239910145685,-1.0460626853570258,-0.08885792198003474,-0.06424961734498852,-0.12584927622517178,-0.3354304647847927,-0.05859231340328742,-0.11173769083885596,-0.10319259433910989,-0.100557081875708,-0.009586788448393224,-0.09450530633330345,-0.27667928443113454,-0.03998155021737981,-0.1392141371259152,-0.06079169204170817,-0.7581286255785645,-0.11781142722951553,-0.2784516774850798,-0.05727974988880759,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.11484851064501,-0.21079628062377095,-0.05292520413796717,-0.10924478759133721,-0.13695415629422117,-0.0997468277620807,-0.17636424210512605
4,-0.10138736761316217,-0.04477480571912243,0.005761668888311339,-0.08051842812122875,-0.10076633195414064,0.012633874504246731,-0.008882811752333589,-0.02815310835888847,-0.15877243218767417,-0.07917236802648418,-0.041805662792590535,-0.07398014750009142,-0.09479135163526085,-0.1335755041772488,-0.05630394166545122,-0.22200372070190114,-0.07912193719700734,-0.11512172734940349,-0.14277553852883534,-0.07110696767760027,-0.12866564668929636,-0.33308565173443894,-0.043353899595934206,-0.2330607036629575,-0.056166771808041215,-0.06291699220545319,-0.10132739692926407,-0.05299287190260861,-0.07648725361495079,-0.10948610678315163,-0.12291617813423837,-0.11761017893324135,-0.08885792198003474,-0.06424961734498852,-0.12584927622517178,-0.3354304647847927,-0.05859231340328742,-0.11173769083885596,-0.10319259433910989,-0.09322222258925417,-0.009586788448393224,-0.09450530633330345,-0.11622650124927919,-0.03998155021737981,-0.1392141371259152,-0.06079169204170817,-0.041393791033968654,-0.07215173352179288,-0.2784516774850798,-0.05727974988880759,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.1001481595916921,-0.09940501076995166,-0.05292520413796717,-0.10924478759133721,-0.13695415629422117,-0.0997468277620807,-0.17636424210512605
5,-0.10138736761316217,-0.04477480571912243,0.005761668888311339,-0.08051842812122875,-0.0775266931340856,0.012633874504246731,-0.008882811752333589,-0.02815310835888847,-0.15877243218767417,-0.07917236802648418,-0.041805662792590535,-0.07398014750009142,-0.09479135163526085,-0.1335755041772488,-0.05630394166545122,-0.22200372070190114,-0.040945145479586886,-0.11512172734940349,-0.14277553852883534,-0.07110696767760027,-0.12866564668929636,-0.33308565173443894,-0.043353899595934206,-0.10945550301001694,-0.056166771808041215,-0.06291699220545319,-0.10132739692926407,-0.05299287190260861,-0.07648725361495079,-0.10948610678315163,-0.08127318892987251,-0.11761017893324135,-0.08403607675622804,-0.06424961734498852,-0.07715428857218876,-0.23426142535200206,-0.05859231340328742,-0.11173769083885596,-0.09272522439260023,-0.09322222258925417,-0.009586788448393224,-0.09450530633330345,-0.11622650124927919,-0.03998155021737981,-0.1392141371259152,-0.06079169204170817,-0.041393791033968654,-0.07215173352179288,-0.2784516774850798,-0.05727974988880759,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.1001481595916921,-0.09940501076995166,-0.05292520413796717,-0.10924478759133721,-0.1272745194118466,-0.0997468277620807,-0.1250083091043196
6,-0.10138736761316217,-0.04477480571912243,0.005761668888311339,-0.08051842812122875,-0.0775266931340856,0.012633874504246731,-0.008882811752333589,0.02720414530364905,-0.15877243218767417,-0.07917236802648418,-0.041805662792590535,-0.07398014750009142,-0.09479135163526085,-0.10487737934995683,-0.05630394166545122,-0.22200372070190114,-0.040945145479586886,-0.11512172734940349,-0.14277553852883534,-0.07110696767760027,-0.1268551495295156,-0.33308565173443894,-0.043353899595934206,-0.10945550301001694,-0.056166771808041215,-0.06291699220545319,-0.10132739692926407,-0.05299287190260861,-0.07648725361495079,-0.10948610678315163,-0.08127318892987251,-0.11761017893324135,-0.08403607675622804,-0.06424961734498852,-0.07715428857218876,-0.23426142535200206,0.006075334227563109,-0.07971766652666243,-0.09272522439260023,-0.09322222258925417,-0.009586788448393224,-0.09450530633330345,-0.11622650124927919,-0.03998155021737981,-0.1392141371259152,-0.06079169204170817,-0.041393791033968654,-0.07215173352179288,-0.2103940715373649,-0.05727974988880759,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.1001481595916921,-0.09940501076995166,-0.05292520413796717,-0.10924478759133721,-0.1272745194118466,-0.023223987237235108,-0.1250083091043196
7,-0.10138736761316217,-0.04477480571912243,0.005761668888311339,-0.08051842812122875,-0.0775266931340856,0.012633874504246731,-0.0004212974175636097,0.02720414530364905,-0.15877243218767417,-0.07917236802648418,-0.041805662792590535,-0.07398014750009142,-0.09479135163526085,-0.10487737934995683,-0.05630394166545122,-0.22200372070190114,-0.040945145479586886,-0.11512172734940349,-0.14277553852883534,-0.07045275733144277,-0.06862166925622536,-0.11635785810577423,-0.043353899595934206,-0.07878872966136527,-0.056166771808041215,-0.06291699220545319,-0.1010265766467637,-0.05299287190260861,-0.07648725361495079,-0.10948610678315163,-0.08127318892987251,-0.11761017893324135,-0.08403607675622804,-0.06424961734498852,-0.07715428857218876,-0.23426142535200206,0.006075334227563109,-0.07971766652666243,-0.09272522439260023,-0.05223921427318723,-0.009586788448393224,-0.09450530633330345,-0.11564012671262797,-0.03998155021737981,-0.11593560372661106,-0.06079169204170817,-0.041393791033968654,-0.07215173352179288,-0.2103940715373649,-0.05727974988880759,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.1001481595916921,-0.09940501076995166,-0.05292520413796717,-0.10924478759133721,-0.07625712824047702,-0.023223987237235108,-0.1250083091043196
8,-0.10051141084361268,-0.04477480571912243,0.005761668888311339,-0.08051842812122875,-0.0775266931340856,0.012633874504246731,-0.0004212974175636097,0.02720414530364905,-0.15877243218767417,-0.05540150347984282,-0.041805662792590535,-0.07398014750009142,-0.09479135163526085,-0.10487737934995683,-0.05630394166545122,-0.22200372070190114,-0.040945145479586886,-0.09851373026000687,-0.14277553852883534,-0.07045275733144277,-0.06862166925622536,-0.11635785810577423,-0.043353899595934206,-0.07878872966136527,-0.056166771808041215,-0.036580224895334856,-0.09498447538031699,-0.05299287190260861,-0.07648725361495079,-0.10948610678315163,-0.08127318892987251,-0.09057797480277113,-0.08403607675622804,-0.06424961734498852,-0.07715428857218876,-0.23426142535200206,0.006075334227563109,-0.07971766652666243,-0.09272522439260023,-0.05223921427318723,-0.009586788448393224,-0.09450530633330345,-0.11564012671262797,-0.03998155021737981,-0.11593560372661106,-0.06079169204170817,-0.041393791033968654,-0.07215173352179288,-0.17682990241059945,-0.05727974988880759,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.06391010994625311,-0.09940501076995166,-0.05292520413796717,-0.006833159783902143,-0.07625712824047702,-0.023223987237235108,-0.1250083091043196
9,-0.10051141084361268,-0.04042732716217308,0.031140194185697898,-0.08051842812122875,-0.0775266931340856,0.012633874504246731,-0.0004212974175636097,0.02720414530364905,0.004312647630254157,-0.05540150347984282,-0.041805662792590535,-0.07398014750009142,-0.09479135163526085,-0.10487737934995683,-0.05630394166545122,-0.22200372070190114,-0.040945145479586886,-0.0926109165664035,-0.14277553852883534,-0.07045275733144277,-0.06862166925622536,-0.11635785810577423,-0.043353899595934206,-0.07878872966136527,-0.056166771808041215,-0.036580224895334856,-0.09498447538031699,-0.05299287190260861,-0.07648725361495079,-0.10948610678315163,-0.03141633057313187,-0.09057797480277113,-0.07706993960887673,-0.026526146023423472,-0.023567503318190575,-0.23426142535200206,0.006075334227563109,-0.07971766652666243,-0.04879879690464933,-0.05223921427318723,-0.009586788448393224,-0.09450530633330345,-0.10789598995312424,-0.03998155021737981,-0.11593560372661106,-0.06079169204170817,-0.041393791033968654,-0.07215173352179288,-0.17682990241059945,-0.05727974988880759,-0.0188666356678637,-0.14070805832783967,-0.03442466647626517,-0.06391010994625311,-0.09940501076995166,-0.05292520413796717,-0.006833159783902143,-0.07625712824047702,-0.023223987237235108,-0.1250083091043196
