g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,0.9049996534990431,0.8052847734241213,0.949449565970043,0.9256059183695652,0.7335257001440192,0.7477834203381623,0.880096625303671,0.9568330685355415,0.8783973462308222,0.9303470355606287,0.9212631595353193,0.9066594666048888,0.9271906027749812,0.8954356499131796,0.9443108279812668,0.8500744370042302,0.8698626581530868,0.9031859470624318,0.6486146427246486,0.9377260476787914,0.9105432764572201,0.4273336769733568,0.9176625956678429,0.8595742113623096,0.5958330259993233,0.9332988373077206,0.9242831957169435,0.5673950449287533,0.7934376213507756,0.9206539842371151,0.8314673849948876,0.47403763880680455,0.0,0.9407763797771269,0.731680482728303,0.6987430227168182,0.7963561008286371,0.9196524196700325,0.7454337359055356,0.7209035360940176,0.9650918622129794,0.8792260517234112,0.842011741431596,0.9515714625034477,0.8807080072147682,0.8829151760558218,0.44276394329628455,0.8870376196893959,0.7525370255679117,0.8642044167017767,0.89496496674043,0.8877732532609822,0.8723838707251201,0.9041805324767389,0.6052671329383484,0.9331544493357745,0.9139595873134924,0.8614571746759354,0.5274741199654224,0.8909048081042764
1,0.9139088874011373,0.9304587531466431,0.949449565970043,0.9256059183695652,0.9229698879655703,0.9178184289710466,0.880096625303671,0.9568330685355415,0.8783973462308222,0.9303470355606287,0.9212631595353193,0.9082492511322828,0.9271906027749812,0.8954356499131796,0.9443108279812668,0.8500744370042302,0.9091936853862804,0.9031859470624318,0.662084503962757,0.9377260476787914,0.9105432764572201,0.8211909502581641,0.9176625956678429,0.8656847116875265,0.6611120467964111,0.9332988373077206,0.9242831957169435,0.9137022985979928,0.935332753170434,0.9206539842371151,0.8314673849948876,0.47403763880680455,0.6136104853586739,0.9407763797771269,0.8998219224030902,0.7904102080225117,0.9432928992731987,0.9196524196700325,0.8915457410823064,0.8937344585083625,0.9650918622129794,0.9047908383544255,0.8462820050227882,0.9515714625034477,0.8807080072147682,0.9423145570664045,0.4890312738897683,0.887296955739744,0.7525370255679117,0.8642044167017767,0.9609639389673809,0.9067656284801524,0.9534866700232458,0.9182686441522903,0.8160305169137037,0.9331544493357745,0.9139595873134924,0.9084354641034975,0.9249862749866973,0.8909048081042764
2,0.9139088874011373,0.9304587531466431,0.949449565970043,0.9256059183695652,0.9229698879655703,0.9225609258536225,0.9641642029884957,0.9568330685355415,0.8783973462308222,0.9303470355606287,0.9212631595353193,0.9326763672344696,0.9271906027749812,0.9099383785677765,0.9443108279812668,0.8500744370042302,0.9091936853862804,0.9181471100840585,0.662084503962757,0.9377260476787914,0.9105432764572201,0.8211909502581641,0.9176625956678429,0.8656847116875265,0.7385266627404339,0.9332988373077206,0.9242831957169435,0.9144929358352547,0.935332753170434,0.9206539842371151,0.8555145124269724,0.504039772974399,0.8015469527960994,0.9407763797771269,0.913375210576956,0.7904102080225117,0.9432928992731987,0.9196524196700325,0.8915457410823064,0.9246258523728996,0.9650918622129794,0.9273178433451457,0.8462820050227882,0.9515714625034477,0.9074301644267764,0.9423145570664045,0.6321205129315465,0.9169506599274759,0.8341392442875991,0.8642044167017767,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9182686441522903,0.8755885201489918,0.9331544493357745,0.9139595873134924,0.9084354641034975,0.9249862749866973,0.8909048081042764
3,0.924256519159209,0.9494392947705326,0.971919264898158,0.933539579365092,0.9245327723638782,0.9749762050222402,0.9641642029884957,0.9568330685355415,0.8987301137772015,0.9341383427524256,0.9507600486381415,0.9326763672344696,0.9271906027749812,0.9099383785677765,0.9443108279812668,0.8706031522514365,0.9091936853862804,0.9181471100840585,0.662084503962757,0.9377260476787914,0.9105432764572201,0.8211909502581641,0.9500713516651133,0.8656847116875265,0.7385266627404339,0.9332988373077206,0.9242831957169435,0.9401212517092999,0.935332753170434,0.9206539842371151,0.8555145124269724,0.504039772974399,0.9298299503440383,0.9407763797771269,0.913375210576956,0.8201479149507692,0.9432928992731987,0.9196524196700325,0.9234535062227481,0.9246258523728996,0.9650918622129794,0.9273178433451457,0.8462820050227882,0.9515714625034477,0.9074301644267764,0.9423145570664045,0.6321205129315465,0.9169506599274759,0.8454935973782779,0.9438767624893275,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9182686441522903,0.8755885201489918,0.9458137804384165,0.9207613294420457,0.9084354641034975,0.9249862749866973,0.8909048081042764
4,0.924256519159209,0.9494392947705326,0.971919264898158,0.933539579365092,0.9245327723638782,0.9749762050222402,0.9654050098003586,0.9568330685355415,0.8987301137772015,0.9341383427524256,0.9507600486381415,0.9364479807561851,0.9271906027749812,0.9099383785677765,0.9443108279812668,0.8706031522514365,0.9341607757287849,0.9181471100840585,0.9058459582119179,0.9377260476787914,0.9121224139702743,0.8211909502581641,0.9500713516651133,0.8656847116875265,0.9443718447878592,0.9413691669384947,0.9242831957169435,0.9457836800141277,0.935332753170434,0.9206539842371151,0.9146799307415058,0.9170401805306366,0.9298299503440383,0.9407763797771269,0.913375210576956,0.8201479149507692,0.9432928992731987,0.9196524196700325,0.9234535062227481,0.9278885931740866,0.9650918622129794,0.9273178433451457,0.9176556772237353,0.9515714625034477,0.9074301644267764,0.9423145570664045,0.9509432601680741,0.937261308000168,0.8454935973782779,0.9438767624893275,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9248077518979576,0.9251383242903313,0.9458137804384165,0.9207613294420457,0.9084354641034975,0.9249862749866973,0.8909048081042764
5,0.924256519159209,0.9494392947705326,0.971919264898158,0.933539579365092,0.9348703827830823,0.9749762050222402,0.9654050098003586,0.9568330685355415,0.8987301137772015,0.9341383427524256,0.9507600486381415,0.9364479807561851,0.9271906027749812,0.9099383785677765,0.9443108279812668,0.8706031522514365,0.9511428296619643,0.9181471100840585,0.9058459582119179,0.9377260476787914,0.9121224139702743,0.8211909502581641,0.9500713516651133,0.9206675976106479,0.9443718447878592,0.9413691669384947,0.9242831957169435,0.9457836800141277,0.935332753170434,0.9206539842371151,0.9332038416516164,0.9170401805306366,0.9319748355469183,0.9407763797771269,0.9350360382525599,0.8651505986946636,0.9432928992731987,0.9196524196700325,0.9281096712113073,0.9278885931740866,0.9650918622129794,0.9273178433451457,0.9176556772237353,0.9515714625034477,0.9074301644267764,0.9423145570664045,0.9509432601680741,0.937261308000168,0.8454935973782779,0.9438767624893275,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9248077518979576,0.9251383242903313,0.9458137804384165,0.9207613294420457,0.912741224441003,0.9249862749866973,0.9137492951545195
6,0.924256519159209,0.9494392947705326,0.971919264898158,0.933539579365092,0.9348703827830823,0.9749762050222402,0.9654050098003586,0.9814574496058067,0.8987301137772015,0.9341383427524256,0.9507600486381415,0.9364479807561851,0.9271906027749812,0.9227040689695658,0.9443108279812668,0.8706031522514365,0.9511428296619643,0.9181471100840585,0.9058459582119179,0.9377260476787914,0.9129277713361011,0.8211909502581641,0.9500713516651133,0.9206675976106479,0.9443718447878592,0.9413691669384947,0.9242831957169435,0.9457836800141277,0.935332753170434,0.9206539842371151,0.9332038416516164,0.9170401805306366,0.9319748355469183,0.9407763797771269,0.9350360382525599,0.8651505986946636,0.9720587915966707,0.9338957794535436,0.9281096712113073,0.9278885931740866,0.9650918622129794,0.9273178433451457,0.9176556772237353,0.9515714625034477,0.9074301644267764,0.9423145570664045,0.9509432601680741,0.937261308000168,0.8757674334649226,0.9438767624893275,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9248077518979576,0.9251383242903313,0.9458137804384165,0.9207613294420457,0.912741224441003,0.9590256729154663,0.9137492951545195
7,0.924256519159209,0.9494392947705326,0.971919264898158,0.933539579365092,0.9348703827830823,0.9749762050222402,0.9691689167795787,0.9814574496058067,0.8987301137772015,0.9341383427524256,0.9507600486381415,0.9364479807561851,0.9271906027749812,0.9227040689695658,0.9443108279812668,0.8706031522514365,0.9511428296619643,0.9181471100840585,0.9058459582119179,0.9380170578680268,0.9388315746215538,0.9175972461948001,0.9500713516651133,0.9343089953168293,0.9443718447878592,0.9413691669384947,0.9244170085920386,0.9457836800141277,0.935332753170434,0.9206539842371151,0.9332038416516164,0.9170401805306366,0.9319748355469183,0.9407763797771269,0.9350360382525599,0.8651505986946636,0.9720587915966707,0.9338957794535436,0.9281096712113073,0.9461189270040978,0.9650918622129794,0.9273178433451457,0.9179165122378496,0.9515714625034477,0.9177850761909282,0.9423145570664045,0.9509432601680741,0.937261308000168,0.8757674334649226,0.9438767624893275,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9248077518979576,0.9251383242903313,0.9458137804384165,0.9207613294420457,0.9354351190672235,0.9590256729154663,0.9137492951545195
8,0.9246461680645893,0.9494392947705326,0.971919264898158,0.933539579365092,0.9348703827830823,0.9749762050222402,0.9691689167795787,0.9814574496058067,0.8987301137772015,0.9447122565259384,0.9507600486381415,0.9364479807561851,0.9271906027749812,0.9227040689695658,0.9443108279812668,0.8706031522514365,0.9511428296619643,0.9255347896036428,0.9058459582119179,0.9380170578680268,0.9388315746215538,0.9175972461948001,0.9500713516651133,0.9343089953168293,0.9443718447878592,0.9530844626133258,0.927104696188629,0.9457836800141277,0.935332753170434,0.9206539842371151,0.9332038416516164,0.9290648250286416,0.9319748355469183,0.9407763797771269,0.9350360382525599,0.8651505986946636,0.9720587915966707,0.9338957794535436,0.9281096712113073,0.9461189270040978,0.9650918622129794,0.9273178433451457,0.9179165122378496,0.9515714625034477,0.9177850761909282,0.9423145570664045,0.9509432601680741,0.937261308000168,0.8906976699958513,0.9438767624893275,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9409274017120951,0.9251383242903313,0.9458137804384165,0.9663167495958288,0.9354351190672235,0.9590256729154663,0.9137492951545195
9,0.9246461680645893,0.9513731690435183,0.9832083089994755,0.933539579365092,0.9348703827830823,0.9749762050222402,0.9691689167795787,0.9814574496058067,0.971274701642639,0.9447122565259384,0.9507600486381415,0.9364479807561851,0.9271906027749812,0.9227040689695658,0.9443108279812668,0.8706031522514365,0.9511428296619643,0.9281605183774031,0.9058459582119179,0.9380170578680268,0.9388315746215538,0.9175972461948001,0.9500713516651133,0.9343089953168293,0.9443718447878592,0.9530844626133258,0.927104696188629,0.9457836800141277,0.935332753170434,0.9206539842371151,0.9553815003668906,0.9290648250286416,0.9350735589183814,0.9575567847223974,0.958872867811861,0.8651505986946636,0.9720587915966707,0.9338957794535436,0.9476493162976145,0.9461189270040978,0.9650918622129794,0.9273178433451457,0.9213613105616384,0.9515714625034477,0.9177850761909282,0.9423145570664045,0.9509432601680741,0.937261308000168,0.8906976699958513,0.9438767624893275,0.9609639389673809,0.9067656284801524,0.9540433124192422,0.9409274017120951,0.9251383242903313,0.9458137804384165,0.9663167495958288,0.9354351190672235,0.9590256729154663,0.9137492951545195
