g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,-0.10789532656781375,-0.055195342749357224,-0.2537776082754135,-0.11419368768110871,-0.11350375902839005,-0.11030439575552009,-0.27349936962127686,-0.11458632443100214,-0.12296389881521463,-0.09937200509011745,-0.11557198851369321,-0.09822334442287683,-0.11544697429053485,-0.21477023512125015,-0.2144952267408371,-0.1544470638036728,-0.11083211627556011,-0.1492057964205742,-0.18416132032871246,-0.23266595602035522,-0.16885986179113388,-0.20952556282281876,-0.11040028436400462,-0.15765780955553055,-0.058952536433935165,-0.12296914029866457,-0.22393130511045456,-0.12924553453922272,-0.15508770942687988,-0.14752783998847008,-0.09893261175602674,-0.11262534209527075,-0.05977768078446388,-0.11678114393725991,-0.09535168390721083,-0.16263708472251892,-0.13402537442743778,-0.10564503399655223,-0.10395154729485512,-0.13064518943428993,-0.006357796490192413,-0.07087613642215729,-0.15671252459287643,-0.08922966569662094,-0.14583121612668037,-0.10495501896366477,-0.09521672129631042,-0.10871000390034169,-0.13330649957060814,-0.09079202823340893,-0.09700652118772268,-0.17338482290506363,-0.24729439616203308,-0.1465195268392563,-0.16257775202393532,-0.14436709880828857,-0.13601484894752502,-0.183166041970253,-0.259163498878479,-0.19553574919700623
1,-0.10789532656781375,-0.055195342749357224,-0.2537776082754135,-0.11419368768110871,-0.11350375902839005,-0.07932529784739017,-0.19481509923934937,-0.11458632443100214,-0.09158488549292088,-0.09937200509011745,-0.07443663850426674,-0.09822334442287683,-0.11544697429053485,-0.21477023512125015,-0.1353880912065506,-0.15079792588949203,-0.11083211627556011,-0.11070701928110793,-0.14224185422062874,-0.15969962999224663,-0.13172220811247826,-0.1302133984863758,-0.11040028436400462,-0.0451003834605217,-0.058952536433935165,-0.10198277235031128,-0.20673531293869019,-0.12924553453922272,-0.15508770942687988,-0.14752783998847008,-0.09893261175602674,-0.11262534209527075,-0.024784907698631287,-0.11678114393725991,-0.09535168390721083,-0.12985908053815365,-0.08047704212367535,-0.10054956469684839,-0.10085179377347231,-0.13064518943428993,-0.006357796490192413,-0.07087613642215729,-0.14379114657640457,-0.08922966569662094,-0.1310727670788765,-0.10495501896366477,-0.09521672129631042,-0.0785839818418026,-0.09655980113893747,-0.09079202823340893,-0.057790521532297134,-0.11428345227614045,-0.24729439616203308,-0.13369415700435638,-0.16257775202393532,-0.14436709880828857,-0.13601484894752502,-0.1591833345592022,-0.13652833364903927,-0.19553574919700623
2,-0.10789532656781375,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.10463130241259933,-0.07932529784739017,-0.12052345555275679,-0.11458632443100214,-0.09158488549292088,-0.09937200509011745,-0.07443663850426674,-0.09822334442287683,-0.11544697429053485,-0.21477023512125015,-0.1353880912065506,-0.13577784597873688,-0.11083211627556011,-0.1017202427610755,-0.14224185422062874,-0.15969962999224663,-0.13172220811247826,-0.10626739077270031,-0.11040028436400462,-0.0451003834605217,-0.058952536433935165,-0.10198277235031128,-0.17820317298173904,-0.12924553453922272,-0.132497513666749,-0.14752783998847008,-0.09893261175602674,-0.10473510576412082,-0.024784907698631287,-0.09210372716188431,-0.09535168390721083,-0.12985908053815365,-0.006099425256252289,-0.10054956469684839,-0.10085179377347231,-0.12724124733358622,-0.006357796490192413,-0.07087613642215729,-0.14379114657640457,-0.08922966569662094,-0.1310727670788765,-0.10495501896366477,-0.09521672129631042,-0.06373465433716774,-0.09655980113893747,-0.09079202823340893,-0.057790521532297134,-0.10527120111510158,-0.21936149895191193,-0.11387084005400538,-0.16257775202393532,-0.14436709880828857,-0.13601484894752502,-0.1591833345592022,-0.13085590302944183,-0.19370950758457184
3,-0.10789532656781375,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.10463130241259933,-0.07932529784739017,-0.11874030996114016,-0.050406135618686676,-0.07201151922345161,-0.09937200509011745,-0.07443663850426674,-0.09822334442287683,-0.11544697429053485,-0.21477023512125015,-0.1353880912065506,-0.07359308749437332,-0.11083211627556011,-0.1017202427610755,-0.14224185422062874,-0.11631739139556885,-0.13172220811247826,-0.06457387283444405,-0.11040028436400462,-0.006205305457115173,-0.058952536433935165,-0.10198277235031128,-0.130414055660367,-0.10542038176208735,-0.132497513666749,-0.14752783998847008,-0.09893261175602674,-0.10473510576412082,-0.0034590139985084534,-0.012211874127388,-0.06605671346187592,-0.06187412887811661,-0.006099425256252289,-0.10054956469684839,-0.10085179377347231,-0.12724124733358622,-0.006357796490192413,-0.07087613642215729,-0.14379114657640457,-0.08922966569662094,-0.1310727670788765,-0.10495501896366477,-0.09521672129631042,-0.06373465433716774,-0.09655980113893747,-0.09079202823340893,-0.057790521532297134,-0.10527120111510158,-0.1356974821537733,-0.11387084005400538,-0.15427544713020325,-0.11704210052266717,-0.13601484894752502,-0.11418107151985168,-0.13085590302944183,-0.16121748834848404
4,-0.10789532656781375,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.10463130241259933,-0.07932529784739017,-0.11874030996114016,-0.050406135618686676,-0.07201151922345161,-0.06021316349506378,-0.07443663850426674,-0.09822334442287683,-0.11544697429053485,-0.16214164718985558,-0.1353880912065506,-0.07359308749437332,-0.11083211627556011,-0.1017202427610755,-0.14224185422062874,-0.048930175602436066,-0.08016792871057987,-0.06457387283444405,-0.09216417744755745,-0.006205305457115173,-0.058952536433935165,-0.07299192622303963,-0.130414055660367,-0.09963276516646147,-0.03187323361635208,-0.14752783998847008,-0.09893261175602674,-0.10473510576412082,-0.0034590139985084534,-0.012211874127388,-0.06605671346187592,-0.06187412887811661,-0.006099425256252289,-0.0873537790030241,-0.10085179377347231,-0.03475894033908844,-0.0056336671113967896,-0.07087613642215729,-0.14379114657640457,-0.08922966569662094,-0.1310727670788765,-0.10495501896366477,-0.09521672129631042,-0.06373465433716774,-0.09655980113893747,-0.09079202823340893,-0.057790521532297134,-0.09663945436477661,-0.1356974821537733,-0.11387084005400538,-0.09384052641689777,-0.11704210052266717,-0.13601484894752502,-0.11418107151985168,-0.08651632815599442,-0.13802426494657993
5,-0.10789532656781375,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.10463130241259933,-0.07932529784739017,-0.03536079078912735,-0.0067114755511283875,-0.07201151922345161,-0.06021316349506378,-0.07443663850426674,-0.09822334442287683,-0.078795675188303,-0.014641731977462769,-0.1353880912065506,-0.07359308749437332,-0.11083211627556011,-0.1017202427610755,-0.14224185422062874,-0.044804103672504425,-0.08016792871057987,-0.06457387283444405,-0.09216417744755745,-0.006205305457115173,-0.058952536433935165,-0.07299192622303963,-0.130414055660367,-0.09963276516646147,-0.03187323361635208,-0.14752783998847008,-0.09893261175602674,-0.10473510576412082,-0.0034590139985084534,-0.012211874127388,-0.06605671346187592,-0.06187412887811661,-0.006099425256252289,-0.0873537790030241,-0.10085179377347231,-0.03475894033908844,-0.0056336671113967896,-0.07087613642215729,-0.14379114657640457,-0.08922966569662094,-0.1310727670788765,-0.10495501896366477,-0.07905328087508678,-0.06373465433716774,-0.09655980113893747,-0.032187558710575104,-0.057790521532297134,-0.09663945436477661,-0.12158104963600636,-0.11387084005400538,-0.09384052641689777,-0.11704210052266717,-0.10416106786578894,-0.11418107151985168,-0.07787980884313583,-0.13802426494657993
6,-0.056986354291439056,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.10463130241259933,-0.07932529784739017,-0.03536079078912735,-0.0067114755511283875,-0.07201151922345161,-0.06021316349506378,-0.07443663850426674,-0.09822334442287683,-0.078795675188303,-0.014641731977462769,-0.1353880912065506,-0.07359308749437332,-0.015922240912914276,-0.08253501169383526,-0.14224185422062874,-0.044804103672504425,-0.07010428979992867,-0.06457387283444405,-0.09216417744755745,-0.006205305457115173,-0.058952536433935165,-0.07299192622303963,-0.130414055660367,-0.07376867532730103,-0.03187323361635208,-0.10979227253119461,-0.09893261175602674,-0.10473510576412082,-0.0034590139985084534,-0.012211874127388,-0.06605671346187592,-0.06187412887811661,-0.006099425256252289,-0.0873537790030241,-0.10085179377347231,-0.03475894033908844,-0.0056336671113967896,-0.07087613642215729,-0.14374038204550743,-0.08922966569662094,-0.10527518298476934,-0.10495501896366477,-0.07905328087508678,-0.06373465433716774,-0.09655980113893747,-0.032187558710575104,-0.057790521532297134,-0.09663945436477661,-0.11329432972706854,-0.11387084005400538,-0.09384052641689777,-0.11704210052266717,-0.10416106786578894,-0.11418107151985168,-0.07787980884313583,-0.08937186375260353
7,-0.056986354291439056,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.04411599040031433,-0.07932529784739017,-0.03518931567668915,-0.0067114755511283875,-0.07201151922345161,-0.06021316349506378,-0.07443663850426674,-0.09822334442287683,-0.07513296976685524,-0.014641731977462769,-0.1353880912065506,-0.07359308749437332,-0.015922240912914276,-0.07441627979278564,-0.14224185422062874,-0.044804103672504425,-0.07010428979992867,-0.06457387283444405,-0.09216417744755745,-0.006205305457115173,-0.058952536433935165,-0.07299192622303963,-0.130414055660367,-0.07376867532730103,-0.03187323361635208,-0.10979227253119461,-0.09893261175602674,-0.10473510576412082,-0.0034590139985084534,-0.012211874127388,-0.015359602868556976,-0.06187412887811661,-0.006099425256252289,-0.0873537790030241,-0.10085179377347231,-0.03475894033908844,-0.0056336671113967896,-0.07087613642215729,-0.14374038204550743,-0.042244426906108856,-0.10527518298476934,-0.10495501896366477,-0.07905328087508678,-0.06373465433716774,-0.09655980113893747,-0.032187558710575104,-0.057790521532297134,-0.09663945436477661,-0.08117987588047981,-0.11114084022119641,-0.09384052641689777,-0.10202748980373144,-0.07203169539570808,-0.11418107151985168,-0.07787980884313583,-0.08937186375260353
8,-0.056986354291439056,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.04113868623971939,-0.06696610897779465,-0.03518931567668915,-0.0067114755511283875,-0.07201151922345161,-0.06021316349506378,-0.06639772281050682,-0.09822334442287683,-0.07513296976685524,-0.014641731977462769,-0.1353880912065506,-0.07359308749437332,-0.015922240912914276,-0.0719841830432415,-0.14224185422062874,-0.044804103672504425,-0.07010428979992867,-0.06457387283444405,-0.09216417744755745,-0.006205305457115173,-0.058952536433935165,-0.07299192622303963,-0.130414055660367,-0.07376867532730103,-0.03187323361635208,-0.10979227253119461,-0.09893261175602674,-0.10473510576412082,-0.0034590139985084534,-0.012211874127388,-0.015359602868556976,-0.06054855138063431,-0.006099425256252289,-0.0873537790030241,-0.10085179377347231,-0.03475894033908844,-0.0056336671113967896,-0.07087613642215729,-0.14374038204550743,-0.042244426906108856,-0.10527518298476934,-0.10495501896366477,-0.07905328087508678,-0.06373465433716774,-0.09655980113893747,-0.026055753231048584,-0.02002093940973282,-0.09663945436477661,-0.08117987588047981,-0.11114084022119641,-0.09384052641689777,-0.10202748980373144,-0.07203169539570808,-0.11418107151985168,-0.07787980884313583,-0.08937186375260353
9,-0.05060742795467377,-0.055195342749357224,-0.08271762542426586,-0.10145654156804085,-0.04113868623971939,-0.026707246899604797,-0.03518931567668915,-0.0067114755511283875,-0.07201151922345161,-0.06021316349506378,-0.06639772281050682,-0.09621243830770254,-0.07468442991375923,-0.014641731977462769,-0.1353880912065506,-0.07359308749437332,-0.015922240912914276,-0.0719841830432415,-0.14221916534006596,-0.044804103672504425,-0.07010428979992867,-0.06457387283444405,-0.06935267150402069,-0.006205305457115173,-0.058952536433935165,-0.07299192622303963,-0.130414055660367,-0.06064603105187416,-0.03187323361635208,-0.10979227253119461,-0.09893261175602674,-0.10473510576412082,-0.0034590139985084534,-0.012211874127388,-0.015359602868556976,-0.06054855138063431,-0.006099425256252289,-0.0873537790030241,-0.10085179377347231,-0.03475894033908844,-0.0056336671113967896,-0.07087613642215729,-0.14374038204550743,-0.042244426906108856,-0.10527518298476934,-0.10495501896366477,-0.07905328087508678,-0.06373465433716774,-0.08591351099312305,-0.007240526378154755,-0.015184067189693451,-0.09663945436477661,-0.08117987588047981,-0.11114084022119641,-0.09384052641689777,-0.10202748980373144,-0.05766615644097328,-0.11418107151985168,-0.07787980884313583,-0.08937186375260353
