g,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60
0,0.9213616056530963,0.9448039623106971,0.8564692806460353,0.9185599268502176,0.918866825493698,0.9202899875041118,0.8476965158387737,0.9183852715645615,0.9146587033113942,0.9251530060959474,0.9179468219238438,0.9256639609594779,0.9180024315805118,0.8738207993278261,0.8739431303812791,0.9006541528562753,0.9200552433590485,0.9029856082084383,0.8874364600069756,0.8658603059544907,0.8942429563743196,0.8761537692770314,0.9202473336967171,0.8992259276159942,0.94313266247332,0.9146563717599298,0.8697457113583121,0.9118644644072116,0.9003691766171538,0.9037320079278919,0.9253484599557856,0.9192575687453696,0.9427656162854932,0.9174089573812024,0.9269413520539361,0.8970110133806696,0.9097382642965671,0.9223625957334953,0.9231159037305688,0.9112418606250027,0.9665282038518958,0.9378287275702398,0.8996464155484751,0.9296645888361591,0.9044867114173442,0.9226695328011759,0.9270013870184831,0.9209992154737032,0.9100580389827233,0.9289696083606047,0.9262052363489733,0.8922301331320975,0.8593531860979288,0.9041805324767389,0.8970374061455412,0.9051379898026383,0.908853293033165,0.8878791863336662,0.8540734930330671,0.8823768110472037
1,0.9213616056530963,0.9448039623106971,0.8564692806460353,0.9185599268502176,0.918866825493698,0.9340703154942464,0.8826973753454941,0.9183852715645615,0.9286169243309459,0.9251530060959474,0.9362449213972348,0.9256639609594779,0.9180024315805118,0.8738207993278261,0.9091320915723153,0.9022773866085225,0.9200552433590485,0.9201108898345929,0.9060833552088248,0.8983176714944522,0.9107627740266468,0.9114339327409524,0.9202473336967171,0.9492944691182146,0.94313266247332,0.9239916672713611,0.8773949467539145,0.9118644644072116,0.9003691766171538,0.9037320079278919,0.9253484599557856,0.9192575687453696,0.9583313339134611,0.9174089573812024,0.9269413520539361,0.9115915428028648,0.9335579889592699,0.9246291962143037,0.9244947566700542,0.9112418606250027,0.9665282038518958,0.9378287275702398,0.9053941886979563,0.9296645888361591,0.9110516626986097,0.9226695328011759,0.9270013870184831,0.9344000726011714,0.9264039493266812,0.9289696083606047,0.9436495576560487,0.9185199971671419,0.8593531860979288,0.9098855986295308,0.8970374061455412,0.9051379898026383,0.908853293033165,0.8985473334564712,0.9086248813594046,0.8823768110472037
2,0.9213616056530963,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9228135305464539,0.9340703154942464,0.9157442774845904,0.9183852715645615,0.9286169243309459,0.9251530060959474,0.9362449213972348,0.9256639609594779,0.9180024315805118,0.8738207993278261,0.9091320915723153,0.9089587182671154,0.9200552433590485,0.9241084474260806,0.9060833552088248,0.8983176714944522,0.9107627740266468,0.9220857548607353,0.9202473336967171,0.9492944691182146,0.94313266247332,0.9239916672713611,0.8900868026637674,0.9118644644072116,0.9104178974630327,0.9037320079278919,0.9253484599557856,0.9227673560505185,0.9583313339134611,0.9283861297353618,0.9269413520539361,0.9115915428028648,0.966643134259407,0.9246291962143037,0.9244947566700542,0.9127560247477358,0.9665282038518958,0.9378287275702398,0.9053941886979563,0.9296645888361591,0.9110516626986097,0.9226695328011759,0.9270013870184831,0.9410054490409125,0.9264039493266812,0.9289696083606047,0.9436495576560487,0.9225288865575588,0.8717784828709884,0.9187035380749703,0.8970374061455412,0.9051379898026383,0.908853293033165,0.8985473334564712,0.9111481296047584,0.8831891719649816
3,0.9213616056530963,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9228135305464539,0.9340703154942464,0.9165374681442897,0.9469343292203162,0.9373236790551865,0.9251530060959474,0.9362449213972348,0.9256639609594779,0.9180024315805118,0.8738207993278261,0.9091320915723153,0.9366201553574751,0.9200552433590485,0.9241084474260806,0.9060833552088248,0.917615246865477,0.9107627740266468,0.9406321422976964,0.9202473336967171,0.9665960359255601,0.94313266247332,0.9239916672713611,0.9113446750847297,0.9224625270318121,0.9104178974630327,0.9037320079278919,0.9253484599557856,0.9227673560505185,0.9678176595237791,0.9639241541742873,0.9399725352857781,0.94183306032694,0.966643134259407,0.9246291962143037,0.9244947566700542,0.9127560247477358,0.9665282038518958,0.9378287275702398,0.9053941886979563,0.9296645888361591,0.9110516626986097,0.9226695328011759,0.9270013870184831,0.9410054490409125,0.9264039493266812,0.9289696083606047,0.9436495576560487,0.9225288865575588,0.908994466237241,0.9187035380749703,0.900730492524267,0.9172928769404883,0.908853293033165,0.9185655388548218,0.9111481296047584,0.897642487663937
4,0.9213616056530963,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9228135305464539,0.9340703154942464,0.9165374681442897,0.9469343292203162,0.9373236790551865,0.9425719019751573,0.9362449213972348,0.9256639609594779,0.9180024315805118,0.8972313971929733,0.9091320915723153,0.9366201553574751,0.9200552433590485,0.9241084474260806,0.9060833552088248,0.9475908755530911,0.9336954908397712,0.9406321422976964,0.928359239837982,0.9665960359255601,0.94313266247332,0.9368875679050745,0.9113446750847297,0.9250370130676996,0.9551782577219969,0.9037320079278919,0.9253484599557856,0.9227673560505185,0.9678176595237791,0.9639241541742873,0.9399725352857781,0.94183306032694,0.966643134259407,0.9304990332085147,0.9244947566700542,0.9538946185004621,0.9668503158893956,0.9378287275702398,0.9053941886979563,0.9296645888361591,0.9110516626986097,0.9226695328011759,0.9270013870184831,0.9410054490409125,0.9264039493266812,0.9289696083606047,0.9436495576560487,0.9263685174499755,0.908994466237241,0.9187035380749703,0.9276135551607864,0.9172928769404883,0.908853293033165,0.9185655388548218,0.9308715536538134,0.9079594512687044
5,0.9213616056530963,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9228135305464539,0.9340703154942464,0.9536268993878159,0.9663708779840673,0.9373236790551865,0.9425719019751573,0.9362449213972348,0.9256639609594779,0.9343059057614281,0.9628432886745,0.9091320915723153,0.9366201553574751,0.9200552433590485,0.9241084474260806,0.9060833552088248,0.949426262260411,0.9336954908397712,0.9406321422976964,0.928359239837982,0.9665960359255601,0.94313266247332,0.9368875679050745,0.9113446750847297,0.9250370130676996,0.9551782577219969,0.9037320079278919,0.9253484599557856,0.9227673560505185,0.9678176595237791,0.9639241541742873,0.9399725352857781,0.94183306032694,0.966643134259407,0.9304990332085147,0.9244947566700542,0.9538946185004621,0.9668503158893956,0.9378287275702398,0.9053941886979563,0.9296645888361591,0.9110516626986097,0.9226695328011759,0.9341913158896852,0.9410054490409125,0.9264039493266812,0.955038437546898,0.9436495576560487,0.9263685174499755,0.9152738314635079,0.9187035380749703,0.9276135551607864,0.9172928769404883,0.9230227033992774,0.9185655388548218,0.9347133075091795,0.9079594512687044
6,0.9440072726666927,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9228135305464539,0.9340703154942464,0.9536268993878159,0.9663708779840673,0.9373236790551865,0.9425719019751573,0.9362449213972348,0.9256639609594779,0.9343059057614281,0.9628432886745,0.9091320915723153,0.9366201553574751,0.9622736841890127,0.9326425492729813,0.9060833552088248,0.949426262260411,0.9381720655087405,0.9406321422976964,0.928359239837982,0.9665960359255601,0.94313266247332,0.9368875679050745,0.9113446750847297,0.9365420492119703,0.9551782577219969,0.9205177935565507,0.9253484599557856,0.9227673560505185,0.9678176595237791,0.9639241541742873,0.9399725352857781,0.94183306032694,0.966643134259407,0.9304990332085147,0.9244947566700542,0.9538946185004621,0.9668503158893956,0.9378287275702398,0.9054167701135967,0.9296645888361591,0.9225271153158591,0.9226695328011759,0.9341913158896852,0.9410054490409125,0.9264039493266812,0.955038437546898,0.9436495576560487,0.9263685174499755,0.9189599852258347,0.9187035380749703,0.9276135551607864,0.9172928769404883,0.9230227033992774,0.9185655388548218,0.9347133075091795,0.9296013353528972
7,0.9440072726666927,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9497323533742732,0.9340703154942464,0.9537031760856898,0.9663708779840673,0.9373236790551865,0.9425719019751573,0.9362449213972348,0.9256639609594779,0.9359351747023275,0.9628432886745,0.9091320915723153,0.9366201553574751,0.9622736841890127,0.9362539774944297,0.9060833552088248,0.949426262260411,0.9381720655087405,0.9406321422976964,0.928359239837982,0.9665960359255601,0.94313266247332,0.9368875679050745,0.9113446750847297,0.9365420492119703,0.9551782577219969,0.9205177935565507,0.9253484599557856,0.9227673560505185,0.9678176595237791,0.9639241541742873,0.9625239605790471,0.94183306032694,0.966643134259407,0.9304990332085147,0.9244947566700542,0.9538946185004621,0.9668503158893956,0.9378287275702398,0.9054167701135967,0.9505648746723755,0.9225271153158591,0.9226695328011759,0.9341913158896852,0.9410054490409125,0.9264039493266812,0.955038437546898,0.9436495576560487,0.9263685174499755,0.9332453497817177,0.9199179147240478,0.9276135551607864,0.9239717757568683,0.9373147041563014,0.9185655388548218,0.9347133075091795,0.9296013353528972
8,0.9440072726666927,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9510567375761975,0.9395680119352505,0.9537031760856898,0.9663708779840673,0.9373236790551865,0.9425719019751573,0.9398208452434866,0.9256639609594779,0.9359351747023275,0.9628432886745,0.9091320915723153,0.9366201553574751,0.9622736841890127,0.9373358389163423,0.9060833552088248,0.949426262260411,0.9381720655087405,0.9406321422976964,0.928359239837982,0.9665960359255601,0.94313266247332,0.9368875679050745,0.9113446750847297,0.9365420492119703,0.9551782577219969,0.9205177935565507,0.9253484599557856,0.9227673560505185,0.9678176595237791,0.9639241541742873,0.9625239605790471,0.9424227125093831,0.966643134259407,0.9304990332085147,0.9244947566700542,0.9538946185004621,0.9668503158893956,0.9378287275702398,0.9054167701135967,0.9505648746723755,0.9225271153158591,0.9226695328011759,0.9341913158896852,0.9410054490409125,0.9264039493266812,0.9577660279670633,0.960450473913932,0.9263685174499755,0.9332453497817177,0.9199179147240478,0.9276135551607864,0.9239717757568683,0.9373147041563014,0.9185655388548218,0.9347133075091795,0.9296013353528972
9,0.9468447890271179,0.9448039623106971,0.932561317821107,0.9242257487413799,0.9510567375761975,0.9574762262283935,0.9537031760856898,0.9663708779840673,0.9373236790551865,0.9425719019751573,0.9398208452434866,0.9265584655672829,0.9361346971774699,0.9628432886745,0.9091320915723153,0.9366201553574751,0.9622736841890127,0.9373358389163423,0.9060934478272997,0.949426262260411,0.9381720655087405,0.9406321422976964,0.938506405348839,0.9665960359255601,0.94313266247332,0.9368875679050745,0.9113446750847297,0.9423793509548912,0.9551782577219969,0.9205177935565507,0.9253484599557856,0.9227673560505185,0.9678176595237791,0.9639241541742873,0.9625239605790471,0.9424227125093831,0.966643134259407,0.9304990332085147,0.9244947566700542,0.9538946185004621,0.9668503158893956,0.9378287275702398,0.9054167701135967,0.9505648746723755,0.9225271153158591,0.9226695328011759,0.9341913158896852,0.9410054490409125,0.9311397027860794,0.9661355420830189,0.9626020435250349,0.9263685174499755,0.9332453497817177,0.9199179147240478,0.9276135551607864,0.9239717757568683,0.9437048785615847,0.9185655388548218,0.9347133075091795,0.9296013353528972
