low, high, distance, time, BL
0.00, 2.00, 0.37412548065185547, 19.796841683855746, 1.700570366599343
0.07, 1.93, 0.35177403688430786, 19.796841683855746, 1.5989728949286721
0.13, 1.87, 0.3307231068611145, 19.796841683855746, 1.5032868493687024
0.20, 1.80, 0.31023669242858887, 19.796841683855746, 1.410166783766313
0.27, 1.73, 0.2946139872074127, 19.796841683855746, 1.3391544873064214
0.33, 1.67, 0.27829593420028687, 19.796841683855746, 1.2649815190922131
0.40, 1.60, 0.2630655765533447, 19.796841683855746, 1.1957526206970215
0.47, 1.53, 0.24663187563419342, 19.796841683855746, 1.1210539801554247
0.53, 1.47, 0.23056288063526154, 19.796841683855746, 1.0480130937966434
0.60, 1.40, 0.21251025795936584, 19.796841683855746, 0.9659557179971174
0.67, 1.33, 0.2036072313785553, 19.796841683855746, 0.9254874153570696
0.73, 1.27, 0.19083958864212036, 19.796841683855746, 0.8674526756460016
0.80, 1.20, 0.18006880581378937, 19.796841683855746, 0.8184945718808607
0.87, 1.13, 0.17204701900482178, 19.796841683855746, 0.7820319045673717
0.93, 1.07, 0.12795694172382355, 19.796841683855746, 0.5816224623810161
1.00, 1.00, 0.0635358989238739, 19.796841683855746, 0.2887995405630632
