low,high,distance,time,BLs
0.0,2.0,0.26223860681056976,19.796841683855746,0.060211304730129665
0.13,2.13,0.21286220848560333,19.796841683855746,0.048874235020297044
0.27,2.27,0.16713716089725494,19.796841683855746,0.03837553382741549
0.4,2.4,0.12609665095806122,19.796841683855746,0.02895242606962554
0.53,2.53,0.0889659970998764,19.796841683855746,0.020427040957664903
0.67,2.67,0.07231798768043518,19.796841683855746,0.016604574157312597
0.8,2.8,0.06282700598239899,19.796841683855746,0.014425396963844121
0.93,2.93,0.05831363797187805,19.796841683855746,0.013389104939775368
1.07,3.07,0.041022494435310364,19.796841683855746,0.009418971307374123
1.2,3.2,0.023735657334327698,19.796841683855746,0.005449826454269962
1.33,3.33,0.01866079866886139,19.796841683855746,0.004284613348217055
1.47,3.47,0.007402397692203522,19.796841683855746,0.001699627787836883
1.6,3.6,0.0031205713748931885,19.796841683855746,0.0007164989025492347
1.73,3.73,-0.001462005078792572,19.796841683855746,-0.0003356837285967029
1.87,3.87,-0.011715531349182129,19.796841683855746,-0.002689944995972882
2.0,4.0,-0.0017269253730773926,19.796841683855746,-0.00039651076227562054
